Adverb,Adverb Type,Degree of Influence
kindheartedly,Manner,1
kindly,Manner,1
kissingly,Manner,1
knavishly,Manner,-1
knottily,Manner,-1
knowingly,Manner,1
knowledgeably,Manner,1
kookily,Manner,-1
largely,Focusing,1
last,Time,-2
lastly,Time,-2
late,Time,-1
lately,Time,-1
later,Time,-1
lazily,Manner,-1
left,Place,0
legally,Viewpoint,0
less,Degree,-1
lightly,Manner,-1
likely,Viewpoint,1
limply,Manner,-1
lithely,Manner,0
little,Degree,-1
lively,Manner,1
loftily,Manner,0
long,Degree,1
longingly,Manner,0
loosely,Manner,0
loud,Degree,1
loudly,Manner,0
lovingly,Manner,1
low,Manner/Place,0
loyally,Manner,1
luckily,Viewpoint,1
luxuriously,Manner,1
madly,Manner,-1
magically,Manner,0
mainly,Focusing,0
majestically,Manner,1
markedly,Manner,0
materially,Manner/Degree,0
maybe,Viewpoint,0
meaningfully,Manner,0
meanly,Manner,-1
meantime,Time/Place,0
meanwhile,Time/Place,0
measurably,Manner,0
mechanically,Manner,-1
medically,Manner,0
menacingly,Manner,-1
merely,Focusing,-1
merrily,Manner,1
methodically,Manner,0
mightily,Manner,1
miserably,Manner,-1
mockingly,Manner,-1
monthly,Frequency,0
morally,Viewpoint,1
more,Degree,1
moreover,Linking,0
mortally,Manner,0
mostly,Focusing,1
much,Degree/Frequency,1
mysteriously,Manner,0
nastily,Manner,-1
naturally,Manner,1
naughtily,Manner,-1
near,Place,0
nearby,Place,0
nearly,Degree,0
neatly,Manner,1
necessarily,Viewpoint,0
needily,Manner,-1
negatively,Manner,-1
nervously,Manner,-1
never,Time/Frequency,-2
nevertheless,Linking,0
next,Time,0
nicely,Manner,1
nightly,Time/Frequency,1
noisily,Manner,-1
normally,Manner,1
nosily,Manner,-1
not,Degree,-2
now,Time,1
nowadays,Time,1
numbly,Manner,-1
obediently,Manner,0
obligingly,Manner,0
obnoxiously,Manner,-1
obviously,Viewpoint,0
occasionally,Frequency,-1
oddly,Manner,-1
offensively,Manner,-1
officially,Viewpoint,0
often,Frequency,1
ominously,Manner,-1
once,Time/Frequency,-1
only,Focusing,0
openly,Manner,0
optimistically,Manner,1
orderly,Manner,1
ordinarily,Manner,0
outdoors,Place,0
outrageously,Manner,-1
outwardly,Manner,0
outwards,Manner,0
overconfidently,Manner,-1
overseas,Place,0
owlishly,Manner,0
painfully,Manner,-1
painlessly,Manner,1
paradoxically,Manner,0
partially,Degree,0
particularly,Focusing,0
passionately,Manner,0
patiently,Manner,1
perfectly,Degree,1
perhaps,Viewpoint,0
periodically,Frequency,-1
perpetually,Manner,2
persistently,Manner,1
personally,Viewpoint,0
persuasively,Manner,1
physically,Manner,0
plainly,Manner/Focusing,0
playfully,Manner,1
poetically,Manner,1
poignantly,Manner,0
politely,Manner,1
poorly,Manner,-1
positively,Manner,1
possibly,Viewpoint,0
potentially,Manner,0
powerfully,Manner,0
presently,Time,0
presumably,Viewpoint,0
prettily,Manner,1
pretty,Degree,1
previously,Time,-1
primly,Manner,0
principally,Manner,0
probably,Viewpoint,0
professionally,Manner,1
promptly,Manner,1
properly,Manner,1
proudly,Manner,1
punctually,Manner,1
puzzlingly,Manner,0
quaintly,Manner,0
quarrelsomely,Manner,-1
queasily,Manner,-1
queerly,Manner,-1
questionably,Manner,0
questioningly,Manner,0
quicker,Manner,1
quickly,Manner,1
quietly,Manner,-1
quirkily,Manner,0
quite,Degree,0
quizzically,Manner,0
randomly,Manner,0
rapidly,Manner,1
rarely,Frequency,-1
rather,Degree,0
readily,Manner,1
really,Viewpoint,0
reasonably,Manner,1
reassuringly,Manner,1
recently,Time,1
recklessly,Manner,-1
regularly,Frequency,1
reliably,Manner,1
reluctantly,Manner,0
remarkably,Degree,1
repeatedly,Frequency,1
reportedly,Viewpoint,0
reproachfully,Manner,-1
reputedly,Viewpoint,0
resentfully,Manner,-1
respectably,Manner,1
respectfully,Manner,1
responsibly,Manner,1
restfully,Manner,0
richly,Manner,1
ridiculously,Manner,-1
right,Manner,1
righteously,Manner,1
rightfully,Manner,1
rightly,Manner,1
rigidly,Manner,-1
roughly,Manner,-1
routinely,Manner,1
rudely,Manner,-1
ruthlessly,Manner,-1
sadly,Manner,-1
safely,Manner,1
scarcely,Manner,-1
scarily,Manner,-1
scientifically,Manner,0
searchingly,Manner,0
secretively,Manner,-1
securely,Manner,0
sedately,Manner,-1
seemingly,Manner,0
seldom,Frequency,-1
selfishly,Manner,-1
selflessly,Manner,1
separately,Manner,0
seriously,Manner,0
shakily,Manner,-1
shamelessly,Manner,-1
sharp,Manner,-1
sharply,Manner,-1
sheepishly,Manner,-1
shoddily,Manner,-1
short,Manner,1
shortly,Time,1
shrilly,Manner,-1
shyly,Manner,0
significantly,Manner,1
silently,Manner,0
silicitiously,Manner,0
simply,Focusing,1
sincerely,Manner,1
singularly,Manner,-1
skillfully,Manner,1
sleepily,Manner,0
slightly,Degree,-1
slowly,Manner,-1
slyly,Manner,-1
smoothly,Manner,1
so,Manner/Degree,1
softly,Manner,-1
solely,Focusing,0
solemnly,Manner,0
solidly,Manner,0
somehow,Manner,0
sometimes,Frequency,-1
somewhat,Degree,-1
somewhere,Place,0
soon,Time,1
spasmodically,Manner,-1
specially,Focusing,1
specifically,Manner/Focusing,0
spectacularly,Manner,1
speedily,Manner,1
spiritually,Manner,0
splendidly,Manner,1
sporadically,Manner,0
startlingly,Manner,0
steadily,Manner,0
stealthily,Manner,0
sternly,Manner,-1
still,Time,0
straight,Manner,0
strenuously,Manner,-1
stressfully,Manner,-1
strictly,Manner,-1
structurally,Manner,0
studiously,Manner,1
stupidly,Manner,-1
stylishly,Manner,1
subsequently,Time/Linking,0
substantially,Manner/Degree,1
subtly,Manner,-1
successfully,Manner,1
suddenly,Manner,0
sufficiently,Manner,0
suitably,Manner,0
superficially,Manner,0
supposedly,Viewpoint,0
supremely,Degree,1
surely,Viewpoint,0
surprisingly,Evaluative,0
suspiciously,Manner,-1
sweetly,Manner,1
swiftly,Manner,1
sympathetically,Manner,1
systematically,Manner,0
temporarily,Manner,0
tenderly,Manner,1
tensely,Manner,-1
tepidly,Manner,0
terribly,Degree,-1
thankfully,Manner/Evaluative,1
then,Time/Linking,0
there,Place,0
thereby,Place,0
thoroughly,Manner,1
thoughtfully,Manner,1
thus,Manner/Linking,0
tight,Manner,0
tightly,Manner,0
today,Time,1
together,Manner/Time/Place,0
tomorrow,Time,0
too,Degree,1
totally,Degree,2
touchingly,Manner,1
tremendously,Manner,1
triumphantly,Manner,1
truly,Viewpoint,1
truthfully,Viewpoint,1
twice,Frequency,0
typically,Focusing,0
ultimately,Focusing,0
unabashedly,Manner,0
unaccountably,Manner,0
unanimously,Manner,2
unbearably,Manner,-1
unbelievably,Manner/Degree/Evaluative,1
undeniably,Viewpoint,0
undoubtedly,Viewpoint,0
unemotionally,Manner,-1
unethically,Manner,-1
unexpectedly,Manner,-1
unfailingly,Manner,1
unfavorably,Manner,-1
unfortunately,Evaluative,-1
uniformly,Manner,0
unilaterally,Manner,0
unimpressively,Manner,-1
universally,Manner,2
unkindly,Manner,-1
unlikely,Viewpoint,-1
unnaturally,Manner,-1
unnecessarily,Manner/Degree,0
unquestionably,Manner,0
unselfishly,Manner,1
unskillfully,Manner,-1
unwillingly,Manner,-1
up,Place/Degree,0
upliftingly,Manner,1
upright,Manner,1
upside-down,Manner,-1
upward,Manner,1
upwardly,Manner,1
urgently,Manner/Frequency,1
usefully,Manner,1
uselessly,Manner,-1
usually,Frequency,1
utterly,Degree,2
vacantly,Manner,-1
vaguely,Manner,-1
vainly,Manner,-1
valiantly,Manner,1
vastly,Manner,1
verbally,Manner,0
vertically,Manner,0
very,Degree,1
viciously,Manner,-1
victoriously,Manner,1
vigilantly,Manner,0
vigorously,Manner,0
violently,Manner,-1
visibly,Manner,0
visually,Manner,0
vivaciously,Manner,1
voluntarily,Manner,1
warmly,Manner,1
weakly,Manner,-1
wearily,Manner,-1
weatherwise,Viewpoint,0
weekly,Frequency,0
well,Manner/Degree,1
wetly,Manner,-1
when,Time,0
where,Place,0
whole-heartedly,Manner,2
wholly,Degree,2
why,Manner,0
wickedly,Manner,-1
widely,Manner/Degree,1
wiggly,Manner,0
wildly,Manner,-1
willfully,Manner,1
willingly,Manner,1
wisely,Manner,1
woefully,Manner,-1
wonderfully,Manner/Evaluative,1
worriedly,Manner,-1
worse,Manner/Degree,-1
worthily,Manner,1
wrong,Manner,-2
wrongly,Manner,-1
yawningly,Manner,0
yearly,Frequency,-1
yearningly,Manner,0
yesterday,Time,-1
yet,Time,0
yieldingly,Manner,0
youthfully,Manner,0
zanily,Manner,-1
zealously,Manner,0
zestfully,Manner,1
zestily,Manner,1
