Word 1	Word 2+	Def 1	Def 2	
boiled	away	bubbled		
boiled	down	concluded		
boiled	up	bubbled		
boiling	down	concluding		
boiling	up	bubbling		
boils	down	concludes		
bolt	out	run		
bolted	down	secured		
bolted	out	ran		
bolted	up	secured		
bolts	out	runs		
bolts	up	secures		
bomb	out	bomb		
bombed	out	bombed		
boot	up	start		
booted	out	dismissed		
booted	up	started		
booting	up	starting		
boots	up	starts		
bore	out	drill		
boss	around	control		
bossed	around	controlled		
bottle	up	suppress		
bottled	up	suppressed		
bottling	up	suppressing		
bottom	out	wreck		
bottomed	out	wrecked		
bottoming	out	wrecking		
bottoms	out	wrecks		
bounce	around	jiggle		
bounce	back	recover		
bounce	off	confer		
bounced	around	jiggled		
bounced	back	recoved		
bounced	off	conferred		
bounces	around	jiggles		
bounces	back	recovers		
bounces	off	confers		
bouncing	around	jiggling		
bouncing	back	recovering		
bouncing	off	conferring		
bound	up	tied	jump	
bounded	up	tied	jumped	
bounding	up	tying	jumping	
bounds	up	ties	jumps	
bow	out	leave		
bowed	out	left		
bowing	out	leaving		
bows	out	leaves		
box	out	obstruct		
box	up	pack		
boxed	up	packed		
boxes	out	obstructs		
branch	off	explore		
branch	out	explore		
branched	off	explored		
branched	out	explored		
branches	off	explores		
branches	out	explores		
branching	off	exploring		
branching	out	exploring		
break	* down	deconstruct	malfunction	
break	* in	ware	wear	
break	* off	chip		
break	*up	break		
break	apart	split		
break	away	remove	excape	
break	down	dismantle	malfunction	
break	in	burglarize	ware	wear
break	in on	intrude		
break	into	burglarize	start	
break	off	remove		
break	out	escape		
break	out of	escape		
break	up	smash	end relationship	
breaking	apart	splitting		
breaking	away	removing	escaping	
breaking	down	dismantling	malfunctioning	
breaking	off	removing		
breaking	up	smashing	ending relationship	
breaks	apart	splits		
breaks	away	removes	escapes	
breaks	down	dismantles	malfunctions	
breaks	off	removes		
breaks	up	smashes	ends relationship	
breathing	down	looming		
brew	up	cook		
brewed	up	cooked		
brighten	up	lighten		
brightened	up	lightened		
brightens	up	lightens		
bring	* about	revolutionize		
bring	* along	bring		
bring	* around	bring		
bring	* away	dismiss		
bring	* off	send		
bring	* on	bring	challenge	
bring	* out	bring	present	
bring	* over	bring		
bring	* to	bring		
bring	* up	bring	inquire	
bring	down	depress		
bring	out	present		
bring	up	discuss		
bringing	down	depressing		
bringing	out	presenting		
bringing	up	discussing		
brings	down	depresses		
brings	out	presents		
brings	up	discusses		
broke	apart	split		
broke	away	removed	escaped	
broke	down	dismantled	malfunctioned	
broke	off	removed		
broke	out	discovered		
broke	up	ended relationship		
broken	away	diverged		
broken	down	dismantled	malfuntioned	
broken	off	removed		
broken	out	discovered		
broken	up	sad		
brought	down	depressed		
brought	out	presented		
brought	up	discussed		
brush	* off	be unretaliative	ignore	
brush	away	sweep		
brush	back	warn		
brush	off	ignore		
brush	out	brush		
brush	up	refresh		
brushed	away	swept		
brushed	back	warned		
brushed	off	ignored		
brushed	out	dispensed		
brushed	up	refreshed		
brushes	off	ignores		
brushing	away	sweeping		
brushing	back	warning		
brushing	off	ignoring		
brushing	up	refreshing		
bubble	up	boil		
bubbled	up	boiled		
bubbles	up	boils		
bubbling	up	boiling		
buck	up			
buckle	up	secure		
buckled	up	secured		
bug	out	freak		
bugged	out	freaked		
bugging	out	freaking		
bugs	out	freaks		
build	out	construct		
build	up	encourage		
building	out	constructing		
building	up	encouraging		
builds	up	ecourages		
built	out	constructed		
built	up	encouraged		
bulk	up	expand		
bulked	up	expanded		
bulking	up	expanding		
bum	out	depress		
bummed	out	depressed		
bump	up	advance		
bumped	out	advanced		
bumped	up	advanced		
bumping	up	advancing		
bumps	up	advances		
bunch	up	group together		
bunched	up	grouped together		
bunching	up	grouping together		
bundle	up	group together	dress warm	
bundled	up	grouped together	dressed warm	
bundling	up	grouping together	dressing warm	
burn	* down	burn	slander	
burn	* up	burn		
burn	away	ignite		
burn	down	torch		
burn	out	tire	quit	
burn	out	tire	quit	
burn	up	ignite		
burn	up	burn		
burn	up	burn		
burned	away	ignited		
burned	down	torched		
burned	out	tired	quit	
burned	up	ignited		
burning	away	igniting		
burning	down	torching		
burning	out	tiring	quitting	
burning	up	igniting		
burns	down	torches		
burns	out	tires	quits	
burns	up	ignites		
burnt	down	torched		
burnt	out	tired	quit	
burnt	up	ignited		
burst	out	erupt		
bursting	out	erupting		
bursts	out	erupts		
bust	out	overflow	escape	
bust	up	laughing		
busted	out	overflowed	escaped	
busted	up	laughed		
busting	out	overflowing	escaping	
busting	up	laughing		
butt	out	keep away		
button	down	focus		
button	up	fasten	keep quiet	
buttoned	down	focused		
buttoned	up	fastened	kept quiet	
buttoning	up	fastening	keeping quiet	
buttons	down	fastens	keeps quiet	
buy	* out	purchase		
buy	* up	purchase	believe	
buying	up	buy		
buzz	around	interfere	flutter	
buzz	off	leave		
buzzed	about	interferred	fluttered	
buzzed	around	interferred	fluttered	
buzzing	around	interferring	fluttering	
caked	on	slathered		
call	* off	terminate		
call	* up	call	retrieve	
call	around	inquire		
call	around	search		
call	away	divert		
call	back	summon		
call	for	beckon		
call	on	request		
call	out	challenge	exclaim	
call	up	contact		
called	around	inquired		
called	away	diverted		
called	back	summoned		
called	off	cancelled		
called	on	asked		
called	out	challenged	exclaimed	
called	up	contacted		
calling	around	inquiring		
calling	back	summoning		
calling	off	canceling		
calling	out	challenging	exclaiming	
calling	up	contacting		
calls	around	inquires		
calls	back	returned a call		
calls	off	cancels		
calls	out	challenges	exclaims	
calls	up	contacts		
calm	* down	calm		
calmed	down	soothed		
calming	down	soothing		
calms	down	sooths		
came	about	discovered		
came	along	approached		
came	apart	separated		
came	around	conformed		
came	down	descended		
came	off	separated		
came	out	emerged		
came	up	ascended		
camp	out	camp		
camped	out	camped		
camping	out	camping		
cancel	out	end		
canceled	out	ended		
canceling	out	ending		
cancelled	out	ended		
cancels	out	ends		
cap	off	enclose		
capped	off	enclosed		
capping	off	enclosing		
care	for	care		
carried	away	carried		
carried	off	removed		
carried	out	completed		
carries	off	removes		
carries	out	completes		
carry	* out	execute		
carry	* over	carry		
carry	away	remove		
carry	off	remove		
carry	on	proceed		
carry	on about	proceed		
carry	on with	proceed		
carry	out	complete		
carrying	away	removing		
carrying	off	removing		
carrying	out	completing		
carted	off	removed		
carve	out	chisel		
carved	out	chiselled		
carves	out	chisels		
carving	out	chiselling		
cash	out	liquidate		
cashed	out	liquidated		
cashing	out	liquidating		
cast	off	reject		
cast	out	banish		
casting	about	fishing	searching	
casting	off	rejecting		
casting	out	banishing		
casts	off	rejects		
catch	on	understand		
catch	up	catch	chat	
catch	up on	reacclimate		
catch	up with	chat		
catches	up	understands		
catching	up	understanding		
caught	off	surprised		
caught	on	understand		
caught	up	absorbed	caught up to?	
chain	off	demarcate		
change	out	substitute		
change	up	move around		
changed	out	substituted		
changing	out	substituting		
charge	up	excite	give power to	
charged	up	excited	gave power to	
charges	up	excites	gives power to	
charging	up	exciting	giving power to	
chase	down	hunt		
chased	down	hunted		
chased	off	ran after		
chasing	down	hunting		
chat	up	talk		
chatted	up	talked		
chatting	up	talking		
cheat	on	cheat		
check	* off	accouunt for		
check	* out	direct attention		
check	* over	examine		
check	* through	give clearance		
check	back	revisit		
check	by	check		
check	for	search		
check	in	show attendance		
check	into	research		
check	off	mark		
check	on	get status		
check	out	explore		
check	out	examine	leave	
check	out of	leave		
check	up	look in on	examination?	
check	up on	meet	get status	
check	with	inquire		
checked	off	marked		
checked	out	explored		
checked	up	looked in on		
checking	off	marked		
checking	out	examining		
checking	up	looking in on		
checks	out	leaves		
cheer	* up	revitalize		
cheer	up	feel happy		
cheered	up	encourage		
cheering	up	encouraging		
chew	* up	chew	beat	eat
chewed	off	eaten		
chewed	out	scold		
chewed	up	eaten		
chewing	up	eating		
chews	up	eats		
chicken	out	abandon		
chickened	out	abandoned		
chill	out	calm		
chilled	out	calmed		
chilling	out	calming		
chip	off	break		
chipped	off	broken		
choke	down	swallow		
choke	off	choke		
choke	out	strangle		
choke	up	cry		
choked	down	swallowed		
choked	off	choked		
choked	out	strangled		
choked	up	cried		
chokes	up	cries		
choking	down	swallowing		
choking	off	repressing		
choking	up	crying		
chop	* down	chop		
chop	* up	chop		
chop	off	cut		
chopped	down	cut		
chopped	off	cut		
chopped	up	cut		
chopping	down	cutting		
chopping	off	cutting		
chopping	up	cutting		
chow	down	eat		
chowing	down	eating		
churn	out	produce		
churn	up			
churned	out	produced		
churned	up			
churning	out	producing		
churning	up			
churns	out	produces		
circle	about	walk around		
circle	back	return		
circled	back	returned		
circles	about	walks around		
circles	back	returns		
circling	back	returning		
circulated	about	walked around		
circulating	about	walking around		
clam	up	shut		
clamber	up	climb		
clambered	up	climbed		
clambering	up	climbing		
clammed	up	shut		
clamp	down	secure		
clamped	down	secured		
clamping	down	securing		
clamps	down	secures		
clams	up	shuts		
clean	* up	clean		
clean	off	wash		
clean	out	empty		
cleaned	off	washed		
cleaned	out	emptied		
cleaned	up	washed	profitted	
cleaning	off	washing		
cleaning	out	emptying		
cleaning	up	washing	profitting	
cleans	out	empties		
cleans	up	washes	profits	
clear	* up	clarify		
clear	off	remove		
clear	out	clear		
cleared	off	removed		
cleared	out	removed		
cleared	up	clarified	became sunny	
clearing	out	removing		
clearing	up	clarifying	becoming sunny	
clears	up	clarify	becomes sunny	
climb	out	ascend		
climb	up	ascend		
climbed	out	ascend		
climbed	up	ascended		
climbing	out	ascending		
climbing	up	ascending		
climbs	out	ascends		
climbs	up	ascends		
clock	out	stop work		
clocked	out	stopped work		
clog	up	cram		
clogged	up	crammed		
clogging	up	cramming		
close	* down	close		
close	* up	close		
close	down	close		
close	in on	constrict	chase	
close	off	shut		
close	off	contain		
close	out	end	sale	
close	up	shut		
closed	down	terminate		
closed	off	shut		
closed	out	ended		
closed	up	shut		
closes	down	terminates		
closes	off	shuts		
closes	up	shuts		
closing	down	terminating		
closing	off	shutting		
closing	out	ending		
closing	up	shutting		
clothes	up	dresses		
clutter	up	dirty		
cluttering	up	dirtying		
coiled	up	wound		
come	about	visit	occur	
come	across	find	cross	
come	after	follow		
come	along	follow		
come	along	occur	accompany	
come	along with	accompany		
come	away	leave		
come	back	return		
come	between	divides		
come	by	visit		
come	by	visit	find	
come	down with	contract		
come	from	originate		
come	into	come		
come	off	seems		
come	off	remove		
come	out	emerge		
come	out	reveal	release	
come	out with	release		
come	over	visit		
come	through	fulfill		
come	to	wake	come	
come	up	ascend		
come	up to	visit		
come	up with	have	imagine	
come	with	include	accompany	
come	again	return		
comes	between	divides		
comes	off	remove		
comes	out	emerges		
comes	up	ascends		
comes	after	follows		
coming	between	dividing		
coming	off	removing		
coming	up	ascending		
conjure	up	think		
conjured	up	thunk		
conjures	up	thinks		
conjuring	up	thinking		
connect	up	connect		
contract	out	hire		
contracted	out	hired		
contracting	out	hiring		
contracts	out	hires		
cook	out	prepare		
cook	up	prepare		
cooked	up	prepared		
cooking	out	preparing		
cooking	up	preparing		
cooks	up	prepares		
cool	down	chill		
cool	off	chill		
cooled	down	chilled		
cooled	off	chilled		
cooling	down	chilling		
cooling	off	chilling		
cools	down	chills		
cools	off	chills		
cooped	up	enclosed		
cop	out	leave		
copied	down	transcribed		
copping	out	leaving		
cordon	off	secure		
cordoned	off	secured		
cough	up	give		
coughed	out			
coughed	up	gave		
coughing	up	giving		
coughs	up	gives		
count	* in	count		
count	* out	count		
count	* up	count		
count	down	count		
count	off	count		
count	on	count		
count	on	depend		
count	out	disregard		
count	up	count		
counted	down	counted		
counted	off	counted		
counted	on	counted		
counted	out	counted		
counted	up	counted		
counting	down	counting		
counting	off	counting		
counting	out	counting		
counting	up	counting		
counts	on	counts		
counts	out	counts		
cover	up	conceal		
covered	up	concealed		
covering	up	concealing		
covers	up	conceals		
cozied	up	snuggled		
cozy	up	snuggle		
cozying	up	snuggling		
crack	down on	stricten		
crack	up			
crack	up	laugh	break	
crack	up at	laugh		
cracked	up	laughed		
cracking	up	laughing		
cracks	up	laughs		
crank	out	crank		
crank	up	crank		
cranked	out	cranked		
cranked	up	cranked		
cranking	out	cranking		
cranking	up	cranking		
cranks	out	cranks		
cranks	up	cranks		
crap	out	lose		
crapped	out	lost		
crashed	out	slept		
crashing	out	sleeping		
crawl	back	crawl		
crawl	off	crawl		
crawl	out	crawl		
crawl	up	crawl		
crawled	along	crawled		
crawled	back	crawled		
crawled	off	crawled		
crawled	out	crawled		
crawled	up	crawled		
crawling	back	crawling		
crawling	out	crawling		
crawling	up	crawling		
crawls	out	crawls		
crawls	up	crawls		
creep	out	sneak		
creep	up	sneak		
creeped	out	sneak		
creeping	out	sneaking		
creeping	up	sneaking		
creeps	out	sneaks		
creeps	up	sneaks		
crept	along	crept		
crept	out	crept		
crept	up	crept		
crew	up	crew		
cried	out	sobbed		
cries	out	sobs		
crop	up	emerge		
cropped	up	emerged		
cropping	up	emerging		
crops	up	emerges		
cross	* out	cross		
cross	off	mark through		
cross	out	mark through		
crossed	off	marked through		
crossed	out	marked through		
crosses	out	marks through		
crossing	out	marking through		
crouch	down	squat		
crouched	down	squatted		
crouches	down	squats		
crouching	down	squatting		
crowd	out	push away		
crowded	out	pushed away		
crowding	out	pushing away		
crowds	out	pushes		
crumbled	away	deteriorated		
crumpled	up	wrinkled		
crushed	out	squished		
cry	out	sob		
crying	out	sobbing		
cuddle	up	snuggle		
cuddled	up	snuggled		
cuddling	up	snuggling		
cue	up	cue		
cued	up	cued		
curl	up	coil		
curled	up	coiled		
curling	up	coiling		
curls	up	coils		
cursed	out	chided		
curved	up	curved		
curving	up	curving		
cut	* off	terminate		
cut	* out	stop		
cut	* up	cut		
cut	back	reduce		
cut	down	cut	reduce	
cut	down on	reduce		
cut	in	interrupt		
cut	in on	interrupt		
cut	off	chop		
cut	out	remove		
cut	up	chop	laugh	
cuts	off	chops		
cuts	out	removes		
cuts	up	chops	laughs	
cutting	off	chopping		
cutting	out	removing		
cutting	up	chopping	laughing	
dance	about	gyrate		
danced	about	gyrated		
danced	up	gyrate		
dancing	about	gyrating		
dancing	up	gyrating		
dangling	off	hanging		
dart	about	scurrying		
dart	around	scurrying		
dart	out	scurry		
darted	about	scurried		
darted	around	scurried		
darted	off	scurried		
darted	out	scurried		
darted	up	scurried		
darting	about	scurrying		
darting	around	scurrying		
darting	out	scurrying		
darts	out	scurries		
dash	off	leave		
dash	out	leave		
dash	up	leave		
dashed	off	left		
dashed	out	left		
dashed	up	left		
dashes	off	leaves		
dashes	out	leaves		
dashing	off	leaving		
dashing	out	leaving		
deliver	up	deliver		
delivered	up	delivered		
dial	up	call		
dialed	up	called		
dialing	up	calling		
die	away	die		
die	down	settle		
die	off	die	end	
die	out	die		
die	out	die	fade	
died	down	mellowed		
died	out	mellowed		
dies	down	mellows		
dies	out	mellows		
dig	out	dig		
dig	up	dig		
digging	out	digging		
digging	up	digging		
digs	out	digs		
digs	up	digs		
dine	out	eat		
dined	out	eat		
dining	out	eating		
disagree	with	disagree		
dish	out	serve		
dish	up	serve		
dished	out	served		
dished	up	served		
dishes	out	serves		
dishes	up	serves		
dishing	out	serving		
dishing	up	serving		
divide	up	divide		
divided	up	divided		
dividing	up	dividing		
divvied	up	distributed		
divvy	up	distribute		
divvying	up	distributing		
do	* over	retry		
do	away with	dismiss		
do	up	fasten		
do	without	forgo		
dole	out	divvy		
doled	out	divvied		
doles	out	divvies		
doling	out	divvying		
dolled	up	fancied		
doped	up	drugged		
double	up	double		
doubled	up	doubled		
doubling	up	doubling		
dove	out	dove		
doze	off	sleep		
drafted	out	drafted		
drag	along	pull		
drag	down	pull		
drag	off	drag		
drag	on	extend		
drag	out	extend		
dragged	along	pulled		
dragged	away	pulled		
dragged	down	pulled		
dragged	off	dragged		
dragged	on	extended		
dragged	out	extended		
dragging	along	pulling		
dragging	down	pulling		
dragging	on	extending		
dragging	out	extending		
drags	out	extends		
drain	off	drain		
drain	out	drain		
drained	off	drained		
drained	out	drained		
draining	out	draining		
drains	out	drains		
drank	up	imbibed		
draw	* up	plan		
draw	away	draw		
draw	down	draw		
draw	off	draw		
draw	out	extract		
draw	up	mock		
drawing	away	drawing		
drawing	down	drawing		
drawing	out	extracting		
drawing	up	mocking		
drawn	away	drawn		
drawn	down	drawn		
drawn	off	drawn		
drawn	out	extracted		
drawn	up	mocked		
draws	out	extracts		
draws	up	mocks		
dream	up	think		
dreamed	up	thunk		
dreaming	up	thinking		
dreams	up	thinks		
dredge	up	dredge		
dredged	up	dredged		
dredging	up	dredging		
dress	* down	dressed casual		
dress	* up	dressed fancy		
dress	down	informal		
dress	down	dressed casual		
dress	up	dressed fancy		
dressed	down	informal		
dressed	up	formal		
dresses	up	dresses fancy		
dressing	down	reproach		
dressing	up	dressing fancy		
drew	away	withdrew		
drew	out	extracted		
drew	up	mocked		
dried	out	dehydrated		
dried	up	shriveled		
dries	out	dehydrates		
dries	up	shrivels		
drift	along	float		
drift	away	float		
drift	off	float	sleep	
drifted	along	floated		
drifted	apart	separated		
drifted	away	floated		
drifted	off	floated	slept	
drifting	along	floating		
drifting	away	floating		
drifting	off	floating	sleeping	
drifts	away	floats		
drifts	off	floats	sleeps	
drill	down	drill		
drilling	down	drilling		
drive	* back	drive		
drive	off	leave		
drive	up	arrive		
driven	off	left		
driven	up	arrived		
drives	off	leaves		
drives	up	arrives		
driving	off	leaving		
driving	up	arriving		
drone	on	talk		
droned	on	talked		
drones	on	talks		
droning	on	talking		
drop	back	falter		
drop	in	stop by		
drop	in on	check		
drop	off	decline		
drop	out	drop		
drop	out	quit		
drop	out of	leave	quit	
drop	over	stop by		
dropped	back	faltered		
dropped	off	declined		
dropped	out	quit		
dropping	back	faltering		
dropping	off	declining		
dropping	out	quitting		
drops	back	falter		
drops	out	quits		
drove	off	left		
drove	out	drove	extracted	
drove	up	arrived		
drown	out	drown		
drowned	out	drowned		
drowning	out	drowning		
drowns	out	drowns		
drum	up	elicit	think	
drummed	up	drummed	thought	
drumming	up	drumming	thinking	
dry	off	dry		
dry	out	dry	dehydrate	
dry	up	dry	shrivel	
drying	off	drying		
drying	out	drying	dehydrate	
drying	up	drying	shriveling	
due	out	due		
dug	up	dug		
dump	out	dump		
dumped	out	dumped		
dust	off	clean		
dusted	off	cleaned		
dusting	off	cleaning		
dying	off	dying		
dying	out	dying		
ease	back	ease		
ease	off	ease		
ease	out	ease		
ease	up	ease	decelerate	
eased	back	eased		
eased	off	eased		
eased	out	eased		
eased	up	eased	decelerated	
eases	off	eases		
easing	back	easing		
easing	up	easing	decelerating	
eat	* up	eat		
eat	away	eat		
eat	in	eat at home		
eat	out	eat away from home		
eat	up	eat		
eaten	away	eaten		
eaten	out	eaten		
eaten	up	eaten		
eating	away	eating		
eating	out	eating		
eating	up	eating		
eats	away	eats		
eats	out	eats	dines	
eats	up	eats		
edge	out	edge		
edge	up	edge		
edged	back	edged		
edged	out	edged		
edged	up	edged		
edges	out	edged		
edging	out	edging		
edging	up	edging		
edit	out	edit	delete	
edited	out	edited	deleted	
eke	out	eke		
eked	out	eked		
ekes	out	ekes		
eking	out	eking		
emerge	out	emerge		
emerged	out	emerged		
emerges	out	emerges		
emerging	out	emerging		
emptied	out	emptied	disposed	
empties	out	empties	disposes	
empty	out	empty	dispose	
emptying	out	emptiying	disposing	
end	up	eventually do		
ended	up	ended		
ending	up	ending		
ends	up	ends		
even	out	even		
evened	out	evened		
explain	away	explain		
explained	away	explained		
explaining	away	explaining		
extend	out	extend		
extended	out	extended		
extending	out	extending		
extends	out	extends		
face	up to	take responsibility		
fade	out	fade	disappear	
faded	out	faded	disappeared	
fades	out	fades	disappears	
fading	away	fading		
fading	out	fading	disappearing	
fall	apart	break		
fall	back	fall		
fall	back on	safety	retreat	
fall	behind in	lag		
fall	behing	lag		
fall	down	fall		
fall	for	believe		
fall	off	decreased	fall	
fall	out with	break relationship		
fall	over	fall		
fall	through	fall		
fallen	apart	fallen		
fallen	back	fallen		
fallen	out	fallen		
falling	apart	falling		
falling	back	falling		
falling	out	falling		
falls	apart	falls		
falls	back	falls		
falls	out	falls		
fan	out	spread		
fanned	out	spread		
fanning	out	spreading		
fans	out	spreads		
fed	off	fed		
feed	off	feed		
feeding	off	feeding		
feeds	off	fedds		
feel	* up	feel		
feel	out	feel		
feel	up to	feel		
feels	out	feels		
fell	off	fell		
fell	out	fell		
felt	up	felt	touched	
fence	off	cordon		
fenced	off	cordoned		
fend	off	fend		
fended	off	fended		
fending	off	fending		
fends	off	fends		
fess	up	fess	confess	
fessed	up	fessed	confessed	
fessing	up	fessing	confessing	
fight	back	defend		
fight	off	defend		
fighting	off	defending		
fights	off	defends		
figure	* out	figure	solve	
figure	* up	figure		
figure	on	figure		
figured	out	figured	solved	
figures	out	figures	solves	
figuring	out	figuring	solving	
file	away	file		
filed	away	filed		
fill	* in	fill	substitute	
fill	* out	fill		
fill	* up	fill		
fill	in	fill		
fill	in for	fill	replace	
fill	out	fill		
filled	out	filled		
filled	up	filled		
filling	out	filling		
filling	up	filling		
fills	out	fills		
fills	up	fills		
filter	out	filter		
filtered	out	filtered		
filtering	out	filtering		
filters	out	filters		
find	out	discover		
finding	out	discovering		
finds	out	discovers		
finish	off	end		
finish	out	end		
finish	up	end		
finished	off	ended		
finished	out	ended		
finished	up	ended		
finishes	off	ends		
finishes	up	ends		
finishing	off	ending		
finishing	up	ending		
fire	up	encourage		
fired	off	fired		
fired	up	encouraged		
fires	off	fires		
fires	up	encourages		
firing	off	firing		
firing	up	encouraging		
firm	up	solidify		
firmed	up	solidified		
firming	up	solidifing		
fix	* up	fix	make better	
fixed	up	repaired		
fixing	up	repairing		
fizzle	out	fizzle		
fizzled	out	fizzled		
flame	out	burn		
flamed	out	burned		
flames	out	burns		
flare	out	flare		
flare	up	flare		
flared	out	flared		
flared	up	flared		
flares	up	flares		
flaring	up	flaring		
flashed	out	flashed		
flatten	out	flatten		
flattened	out	flattened		
flattening	out	flattening		
flattens	out	flattens		
flesh	out	flesh		
fleshed	out	fleshed		
fleshes	out	fleshes		
fleshing	out	fleshing		
flew	off	flew		
flew	out	flew		
flick	off	flick		
flicked	off	flicked		
flicked	out	flicked		
flickered	out	flickered		
flied	out	flied		
flies	off	flies		
flies	out	flies		
flip	up	flip		
flipped	off	flipped		
flipped	out	flipped		
flipped	up	flipped		
flipping	out	flipping		
flips	off	flips		
flips	out	flips		
flips	up	flips		
float	away	drift		
float	off	drift		
float	up	float		
floated	away	drifted		
floated	off	drifted		
floated	up	floated		
floating	away	drifting		
floating	off	drifting		
floating	up	floating		
floats	away	drifts		
floats	up	floats		
flooded	out	flooded		
flooding	out	flooding		
flown	away	flown		
flown	off	flown		
flung	off	flung		
flunk	out	fail		
flunked	out	failed		
flunking	out	failing		
flush	out	flush		
flushed	out	flushed		
flushing	out	flushing		
fly	away	fly		
fly	off	fly		
fly	out	fly		
fly	up	fly		
flying	away	flying		
flying	off	flying		
flying	out	flying		
flying	up	flying		
fog	up	fog		
fogged	up	fogged		
fold	up	fold		
folded	up	folded		
folding	up	folding		
folds	up	folds		
follow	along	follow		
follow	up	follow	check	
followed	along	followed		
followed	up	followed	checked	
following	along	following		
following	up	following	checking	
follows	along	follows		
follows	up	follows	checks	
fool	around	joke		
fooled	around	joked		
fooling	around	joking		
force	out	force		
forced	off	forced		
forced	out	forced		
forces	out	forces		
forcing	out	forcing		
form	up	form		
formed	up	formed		
forming	up	forming		
fought	out	fought		
foul	up	mistake		
fouled	out	fouled		
fouled	up	mistook		
found	out	discovered		
freak	out	freak		
freaked	out	freaked		
freaking	out	freaking		
freaks	out	freaks		
free	up	allocate		
freed	up	allocated		
freeing	up	allocating		
frees	up	allocates		
freeze	out	freeze		
freeze	up	freeze		
freezes	up	freeze		
freezing	out	freeze		
freezing	up	became dormant		
fresh	out	recently emerged		
freshen	up	clean		
freshened	up	cleaned		
freshening	up	cleaning		
frightened	off	scared		
froze	up	became dormant		
frozen	up	became dormant		
fry	up	cook		
fuck	around	dilly-dallying		
fuck	up	botch		
fucked	up	botch		
fucking	around	had sex		
fucking	up	botch		
fuel	up	increased fuel		
