Word	AdjectiveOrderID	ComparisonType	Quantifier	IsQualitative	IsClassifying	CommonlyPrecededWithAnd	WorksInAttributivePosition	WorksInPredicativePosition	HasDiminutiveSuffix	IsProper	Compliments	MustUseMoreMost	AdjectiveIntensifierID	howCommon	commonRank	baseForm
acronychous	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	nych
adenocarcinomatous	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	nocarcinomat
antimonarchial	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	monarchi
competent	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.001295	6149	mpetent
circular	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.001973	4515	circular
autolytic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	utolyte
actinopterygian	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	ctinopterygian
aerophilatelic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	erophilatele
left	-1	Absolute	--	true	true	null	true	true	false	false		true	-1	0.049547	178	left
Aaronical	-1	Absolute	--	null	null	null	null	null	false	true		null	-1	-1.0	-1	aronice
agentival	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	gent
aerogenic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	erogene
aeruginous	7	Absolute	--	false	false	null	true	true	false	false		false	-1	-1.0	-1	erugin
protective	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.001364	5937	tect
achlorophyllous	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	chlorophyll
amusing	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	8.49E-4	8177	mus
autosuggestible	-1	Absolute	--	true	true	null	true	true	false	false		false	-1	-1.0	-1	utosuggestible
avid	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	1.75E-4	22117	vid
accessible	-1	Absolute	--	true	false	null	true	true	false	false		false	-1	0.001728	4989	ccessible
areolate	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	olate
ambery	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	mbery
statistical	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.00222	4129	statistice
antireforming	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	form
infinite	-1	Absolute	--	false	true	null	true	true	false	false		false	4	9.94E-4	7384	finite
antimedical	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	medice
Amazonian	-1	Absolute	--	false	true	null	true	true	false	true		false	-1	-1.0	-1	mazonian
autogamous	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	utogam
notable	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.001671	5114	not
annelid	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	nelid
balanced	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.002097	4316	balanc
auspicial	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	uspici
gold	-1	Absolute	--	false	false	null	null	false	false	false		null	-1	0.008199	1319	gold
auroral	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	urore
same	-1	Absolute	--	false	true	null	true	false	false	false		false	-1	0.064614	143	--
after	-1	Comparative	--	false	true	null	true	false	false	false		false	-1	0.123252	87	aft
antiagglutinant	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	gglutina
quiet	-1	Absolute	--	true	false	null	true	true	false	false		false	1	0.006755	1605	quiet
rational	-1	Absolute	--	true	true	null	true	true	false	false		true	-1	0.002465	3816	ration
contractual	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	9.22E-4	7768	ctu
asymptomatic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	1.36E-4	25460	ymptomate
ascitic	-1	Absolute	--	false	true	null	true	false	false	false		false	-1	1.3E-5	77937	cite
artistic	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.00165	5156	rtist
beamish	-1	Absolute	--	false	true	null	true	true	true	false		false	-1	1.18E-4	27615	beam
axenic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	xene
archeologic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	rcheologe
antifeudalistic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	feudalist
associational	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	1.3E-5	78571	sociation
straight	-1	Absolute	--	true	true	null	true	true	false	false		false	-1	0.010529	1022	straight
antipacifistic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	pacifist
exciting	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.003533	2900	excit
obvious	-1	Absolute	--	true	false	null	true	true	false	false		true	2	0.008977	1213	obv
angiocardiographic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	giocardiograph
anelectric	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	electry
aedeagal	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	edeag
acclivous	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	ccliv
violent	-1	Absolute	--	true	false	null	true	true	false	false		true	1	0.00293	3371	violent
acknowledgeable	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	cknowledge
alexinic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	lexine
antismoking	-1	Absolute	--	false	true	null	true	false	false	false		false	-1	-1.0	-1	smok
Aeolian	-1	Absolute	--	false	true	null	true	true	false	true		false	-1	-1.0	-1	eolian
batrachian	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	batrachian
good	-1	Absolute	--	true	false	null	true	true	false	false		false	-1	0.085012	115	good
Aristotelian	-1	Absolute	--	false	true	null	true	true	false	true		false	-1	-1.0	-1	ristotelian
beatific	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	1.8E-5	68658	beatife
empty	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.006066	1788	empty
faithful	-1	Absolute	--	true	false	null	true	true	false	false		true	2	0.001077	6948	faith
an-end	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	-end
syntactic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	9.27E-4	7731	syntax
apnoeic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	pnoe
antiperspirant	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	spira
anticlogging	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	clog
apparitional	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	pparition
serious	-1	Absolute	--	true	true	null	true	true	false	false		true	2	0.013054	796	serious
applicatory	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	pplicatory
assurgent	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	surgent
anisodactylous	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	isodactyl
anticlockwise	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	5.6E-5	40326	clockwise
antimethodic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	methode
anticonvulsant	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	nvulsa
approachable	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	9.8E-5	30542	pproach
anamorphic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	morph
anticyclone	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	cyclone
supposed	-1	Absolute	--	false	true	null	true	false	false	false		false	2	0.006845	1587	suppos
auricled	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	uricl
autocatalytic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	utocatalyte
anabatic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	bate
absent-minded	-1	Absolute	--	true	false	null	true	true	false	false		false	-1	-1.0	-1	bsent-mind
animadversional	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	adversion
applied	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.008003	1355	pply
acholuric	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	cholure
antipapistical	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	papistice
Arctogeic	-1	Absolute	--	null	null	null	null	null	false	true		null	-1	-1.0	-1	rctoge
antisudorific	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	sudorife
aboriginal	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	2.3E-4	18818	boriginal
acronychal	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	nych
air-minded	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	-mind
abstracted	-1	Absolute	--	false	true	null	true	false	false	false		false	-1	1.55E-4	23673	bstract
Aggadic	-1	Absolute	--	null	null	null	null	null	false	true		null	-1	-1.0	-1	ggade
achenial	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	cheni
all-pass	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	pass
amberous	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	mber
bacterial	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	5.86E-4	10556	bacteri
romantic	-1	Absolute	--	true	true	null	true	true	false	false		true	-1	0.002159	4221	romant
behavioral	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	1.1E-5	86013	behavi
hard	-1	Absolute	--	true	true	null	true	true	false	false		false	-1	0.024132	401	hard
anisometric	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	isometry
Balkan	-1	Absolute	--	false	true	null	true	true	false	true		false	-1	-1.0	-1	balkan
multiple	-1	Absolute	--	false	false	null	false	true	false	false		false	-1	0.002604	3666	ple
articulatory	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	4.9E-5	42886	rticulatory
aquiver	-1	Comparative	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	quiv
up-to-date	-1	Absolute	--	true	false	null	true	true	false	false		false	-1	-1.0	-1	to date
acheilary	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	cheilary
well	-1	Absolute	--	true	false	null	true	true	false	false		false	-1	0.123587	86	well
suitable	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.006409	1686	suit
asphaltlike	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	phalt
amateurish	7	Absolute	--	false	false	null	true	true	true	false		true	-1	7.6E-5	34748	mateur
airless	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	5.6E-5	40535	irl
ammoniacal	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	mmoniac
antispiritualistic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	spiritualist
irrelevant	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.001435	5717	leva
abdicant	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	bdica
antipragmatist	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	pragmatist
part-time	-1	Absolute	--	true	false	null	true	true	false	false		false	-1	-1.0	-1	part-time
awninged	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	awn
Amratian	-1	Absolute	--	null	null	null	null	null	false	true		null	-1	-1.0	-1	mratian
au lait	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	u
fierce	-1	Absolute	--	true	false	null	true	true	false	false		false	1	0.001671	5115	fierce
aliped	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	lip
aneurysmal	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	eurysm
antibilious	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	bil
aghast	-1	Absolute	--	false	false	null	false	true	false	false		false	-1	1.79E-4	21834	ghast
ambushlike	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	mbush
distant	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.003073	3244	sta
antireligious	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	lig
anti-Trinitarian	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	-trinitarian
angular	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	4.65E-4	12188	gular
antihierarchal	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	hierarch
anal	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	5.57E-4	10924	an
animalcular	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	alcular
artiest	-1	Superlative	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	rty
crazy	-1	Absolute	--	true	false	null	true	true	false	false		false	-1	0.001882	4684	crazy
antistimulant	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	stimula
arenaceous	-1	Absolute	--	true	false	null	true	true	false	false		false	-1	-1.0	-1	nace
associable	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	soci
anticlassicist	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	classicist
averse	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	1.5E-4	24032	verse
aeneous	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	ene
asteriated	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	teriate
arthritical	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	rthritice
autopsic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	utops
pink	7	Absolute	--	false	false	null	true	true	false	false		false	-1	0.003532	2902	pink
abstergent	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	bstergent
agrostographic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	grostograph
antignostical	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	gnostice
asbestoidal	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	bestoid
aery	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	ery
aneroid	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	eroid
Asturian	-1	Absolute	--	false	true	null	true	true	false	true		false	-1	-1.0	-1	turian
annotatory	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	notatory
mandatory	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.001026	7203	mandatory
antiprelatist	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	latist
bacchantic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	bacchant
top	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.024975	376	top
antilevelling	-1	Absolute	--	null	null	null	null	null	true	false		null	-1	-1.0	-1	level
acutilingual	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	cutilingu
adagio	-1	Absolute	--	false	true	null	true	false	false	false		false	-1	4.7E-5	43588	dagio
beachless	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	beachl
arrhythmical	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	rrhythmice
antinihilistic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	nihilist
famous	-1	Absolute	--	true	false	null	true	true	false	false		true	3	0.006882	1572	fam
authoritarian	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	5.26E-4	11303	uthoritarian
beholden	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	5.5E-5	40955	beholde
antipyrotic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	pyrote
occupational	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.001841	4761	occupation
aforethought	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	1.1E-5	83537	forethought
premier	-1	Comparative	--	false	true	null	true	true	false	false		false	-1	0.002609	3659	premy
ballistic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	1.63E-4	22995	ballist
intellectual	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.003184	3160	tellectu
ascending	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	2.53E-4	17863	cend
cheap	-1	Absolute	--	true	false	null	true	true	false	false		false	-1	0.004134	2549	cheap
noisy	-1	Absolute	--	true	false	null	true	true	false	false		false	-1	0.001076	6953	noisy
allergic	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	2.63E-4	17429	llerg
admonitory	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	1.8E-5	68730	dmonitory
unreasonable	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.001044	7114	reason
atherine	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	therine
autocephalous	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	utocephal
acclamatory	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	cclamatory
adverbial	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	5.6E-5	40562	dverbi
capital	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.014388	717	capite
minor	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.005257	2037	min
acronical	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	nice
hostile	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.001734	4968	hostile
benedictory	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	benedictory
identical	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.002293	4027	identice
abject	-1	Absolute	--	false	true	null	true	false	false	false		false	-1	1.26E-4	26518	bject
athermanous	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	therman
arrowy	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	rrowy
ambitious	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.001621	5214	mbit
academic	-1	Absolute	--	true	true	null	true	true	false	false		true	-1	0.005101	2092	cademe
astrophysical	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	1.6E-5	72132	trophysice
representative	-1	Absolute	--	true	true	null	true	true	false	false		true	-1	0.003933	2642	presentat
amygdaline	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	mygdaline
well-known	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	-1.0	-1	well
lay	-1	Absolute	--	false	true	null	true	false	false	false		false	-1	0.010691	1004	lay
archegonial	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	rchegoni
bannered	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	ban
barbituric	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	barbiture
less	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	0.037531	234	--
anaerobiotic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	erobiot
anticreational	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	creation
successive	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.001969	4524	success
anticommercialistic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	mmercialist
auctionary	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	uctionary
acidic	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	2.01E-4	20402	cide
aetiological	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	4.2E-5	46124	etiologice
astromantic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	tromant
Aristophanic	-1	Absolute	--	null	null	null	null	null	false	true		null	-1	-1.0	-1	ristophane
airtight	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	7.2E-5	35808	tight
antipragmatical	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	pragmatice
amative	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	mat
anti-Italian	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	italian
effective	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.01047	1028	effect
air-raid	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	-raid
generous	-1	Absolute	--	true	false	null	true	true	false	false		true	3	0.002442	3845	gener
archangelic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	rchangele
anaglyptical	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	glyptice
arborescent	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	rborescent
antigravity	-1	Absolute	--	false	true	null	true	false	false	false		false	-1	1.5E-5	73685	grav
apologetic	7	Absolute	--	false	false	null	true	true	false	false		true	-1	2.42E-4	18297	pologete
ideological	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.001766	4909	ideologice
alcoholic	-1	Absolute	--	true	true	null	true	true	false	false		true	-1	8.18E-4	8393	lcohole
aforementioned	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	1.27E-4	26444	foreme
lengthy	-1	Absolute	--	true	false	null	true	true	false	false		false	-1	0.001223	6415	lengthy
distinguished	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.002636	3631	tingu
antitussive	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	tuss
industrial	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.012204	855	dustri
antimoralistic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	moralist
bemused	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	3.21E-4	15430	bemus
acicular	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	cicular
quantitative	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	9.75E-4	7484	quantitat
stable	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.003592	2861	st
antherless	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	therl
spoken	-1	Absolute	--	false	false	null	null	false	false	false		null	-1	0.00386	2689	spoke
unfamiliar	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	8.71E-4	8045	familiear
accessorial	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	ccessori
aplastic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	plast
bereft	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	2.0E-4	20429	bereft
Achaean	-1	Absolute	--	false	true	null	true	true	false	true		false	-1	-1.0	-1	chaean
algraphic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	lgraph
antiblastic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	blast
barbarous	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	8.9E-5	31969	barbar
anticivil	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	civil
anticoagulant	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	1.1E-5	85459	agula
arrased	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	rras
awe-inspiring	7	Absolute	--	false	false	null	true	true	false	false		true	-1	-1.0	-1	we-inspir
uncertain	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.002112	4285	certain
beautiful	-1	Absolute	--	true	false	null	true	true	false	false		true	3	0.009123	1185	beauti
eventual	-1	Absolute	--	false	true	null	true	false	false	false		false	2	0.001089	6908	eventu
liable	-1	Absolute	--	true	true	null	true	true	false	false		true	-1	0.002361	3948	li
appreciative	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	1.87E-4	21268	ppreciat
aeromarine	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	eromarine
anticivic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	cive
anthropogenic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	2.6E-5	57465	thropogene
antidiuretic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	diurete
environmental	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.008851	1223	environ
apetalous	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	petal
probable	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	0.001275	6221	prob
opposite	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	0.006352	1698	opposite
bandboxical	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	bandboxice
each	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	0.053448	166	--
anticreation	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	create
beaded	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	1.09E-4	28624	bead
antipestilential	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	pestilenti
aperiodic	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	iod
polite	-1	Absolute	--	true	false	null	true	true	false	false		true	3	0.001235	6368	polite
ardent	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	2.63E-4	17396	rdent
