Determiner,Noun,2GramCount
a,wince,42
a,winch,72
this,switch,76
the,heyday,318
the,forage,36
this,compromise,121
an,overweight,190
the,edict,102
the,provocation,81
the,beck,103
the,unreliability,58
the,sophistication,249
the,beep,109
the,beer,1559
the,beet,74
the,beef,748
the,pontifical,126
the,plagiarist,32
the,challenger,399
the,clippers,166
the,bear,1822
the,beat,1483
a,beau,40
a,knapsack,71
the,indentation,88
the,beak,101
a,beam,458
a,bean,164
the,fisher,197
a,bead,332
a,thunderhead,36
the,sealing,51
a,wrist,173
the,sketchbook,31
the,latrine,89
the,jackpot,242
the,merrimack,37
a,portraitist,28
the,mediums,42
the,bijou,69
this,twist,53
a,knuckle,89
a,facial,281
the,grating,101
the,toilet,2635
a,looter,31
the,lettuce,230
the,anticommunist,33
a,retreat,619
the,repellent,26
a,brassiere,31
the,twine,93
a,governance,28
the,novel,5881
a,clipping,50
the,poise,71
the,electrode,253
the,dowager,64
the,lending,169
the,monochrome,55
a,twirl,30
the,graphite,83
the,sarcasm,108
the,enclosure,264
the,scratches,93
the,timothy,39
a,diplomat,385
this,decrease,71
the,cofounder,52
the,reinforcer,30
the,goldenrod,31
those,supporting,52
those,facing,63
the,hairline,110
this,rivalry,60
the,injector,34
a,point,11351
a,bassist,32
a,lumbering,65
a,pick-up,109
the,bumblebee,28
the,goaltender,27
a,falcon,66
the,peculiarity,52
this,revision,44
the,heelpiece,30
the,macaroni,88
those,statistics,137
a,sacrament,165
a,trigger,331
a,guffaw,25
the,graphics,331
the,attacker,321
the,trenches,698
the,wildebeest,56
the,urethra,109
the,kale,55
a,metallic,336
the,swimming,747
these,countries,1813
the,poker,218
the,pokey,28
the,complainant,110
the,complex,3822
the,environs,67
an,emery,26
a,mouthpiece,104
this,impulse,86
a,statistician,90
a,gopher,53
the,kang,37
the,kane,31
the,universities,788
a,whisky,24
a,rhododendron,30
the,peacekeeping,208
a,captain,583
a,livelihood,134
a,starting,1066
the,undergrowth,201
a,double-bogey,23
a,swivel,88
a,tether,65
this,bread,79
this,break,465
a,sweepstakes,37
the,whites,1126
a,sunburn,85
a,survival,379
the,alternator,54
the,retrieve,55
an,annoying,208
a,safe-deposit,37
the,breed,208
a,needle,969
a,handset,34
the,buyout,232
the,ghettos,139
the,headland,45
this,circular,32
a,collect,42
a,headlamp,46
the,wiper,37
the,athletics,61
the,bicycle,541
the,bailout,330
a,handsaw,28
a,fistful,305
the,victrola,52
a,honky-tonk,23
these,college,49
a,sapling,69
a,blackbird,48
a,maturity,69
the,upholstery,154
a,sonogram,68
a,goldfish,117
the,divergence,126
the,notable,280
a,branding,51
the,outback,112
a,sacrilege,44
this,feeding,25
the,quandary,80
a,curio,28
a,drainage,150
the,curia,44
the,grumbling,62
this,country,27541
this,crusade,35
the,phenotype,31
the,stocks,776
the,cordillera,44
the,ordinary,2517
the,hazard,248
a,hairnet,31
the,summaries,51
a,saucepan,477
the,run-up,408
a,workbench,69
the,handgun,92
a,werewolf,155
this,battle,571
a,doughnut,222
a,chairlift,52
the,counter,6240
the,blackjack,87
an,existentialist,31
the,ferryman,55
the,assessor,139
the,incongruities,28
a,licking,41
the,remembering,27
the,batter,974
the,proportionality,41
the,accessory,54
a,retinal,38
a,construction,1145
the,conflict,4815
a,run-in,102
an,informer,80
the,hi-fi,42
a,paramount,95
the,legation,27
a,grilling,28
the,bite,528
this,variance,26
a,relic,384
a,virologist,23
the,attendant,773
a,tincture,26
a,bastard,244
the,scheduler,25
the,homework,252
the,agonies,76
the,loneliness,370
the,partisanship,90
this,prosperity,32
the,larvae,325
a,westward,23
the,acculturation,148
the,bird,4012
a,billboard,339
the,policies,1705
this,governor,74
the,smallpox,143
the,admin,27
a,siren,325
the,contour,232
the,walkout,62
an,aurora,89
this,accident,249
the,molecule,222
these,external,92
the,hissing,147
the,bookmobile,36
the,tattered,316
the,relay,164
a,browser,120
the,decedent,49
the,dominant,5032
the,triceratops,38
a,curry,32
the,heterogeneity,159
the,incomprehensibility,23
the,bier,32
the,subcontinent,202
a,forest,1444
the,rapport,56
this,curve,34
this,responsibility,243
a,trade-in,26
a,commercial,3184
the,bias,366
the,pathologist,122
a,curse,822
the,bile,93
a,linguist,120
a,bill,5687
this,bike,364
the,pyrotechnics,39
the,bind,36
the,bing,39
a,resultant,27
the,valentine,60
the,sunspot,33
the,relationship,15137
the,governed,161
a,showdown,361
the,telluride,59
a,sterling,106
this,bargain,43
a,proofreader,25
the,philosopher,724
a,fledgling,311
the,wombat,28
this,diversity,201
a,vocabulary,224
the,honour,38
a,gland,32
this,ballpark,36
a,cutie,43
a,sissy,109
a,collision,824
this,diversion,24
the,octagon,83
the,information,13679
a,disappointment,625
the,floodplain,171
those,glass,24
a,gambling,269
a,glare,165
the,backstop,56
the,buoyancy,48
the,phonograph,129
the,huntsman,83
this,milestone,52
this,oasis,29
the,heavyweight,296
the,washcloth,65
an,anticlimax,41
an,upright,337
a,patent,762
a,dwelling,90
the,applesauce,30
a,glade,40
this,notebook,36
the,carver,107
a,long-distance,264
the,juries,56
a,manicurist,27
the,bootleg,24
the,nomenklatura,39
an,escalation,177
a,symptom,675
the,interconnection,51
these,societies,163
an,optician,28
the,parliament,1192
the,kern,53
a,lollipop,76
an,affirmation,283
a,forger,24
the,kemp,72
the,kelp,58
an,imitation,206
those,aircraft,43
the,expiration,229
the,generality,82
the,noble,638
a,generalist,66
the,solvent,86
a,tease,110
those,keys,34
a,jurist,42
these,tears,42
the,illusionist,46
the,esteem,88
a,definitive,669
the,affirmative,428
a,fabrication,86
the,hypertext,26
a,steamship,49
a,retinue,40
the,diehard,23
the,german,6263
the,sitka,35
a,delicatessen,36
the,handful,623
a,geisha,130
an,assassination,271
a,colostomy,39
the,keck,133
the,ragtag,38
the,pajamas,42
the,glaze,207
the,simulation,453
a,counsel,82
this,deficiency,69
the,sitar,23
the,wiener,42
a,hurting,27
the,collage,87
the,distillery,58
this,definition,552
the,solvency,82
the,romanticism,56
the,disregard,32
the,keel,163
a,taxidermist,41
a,methodist,230
the,longs,48
the,keen,115
the,keep,181
the,adobe,104
a,loner,360
the,honors,368
the,retrial,42
the,hamstring,52
the,swedish,1066
a,divider,88
the,proliferation,1234
the,logan,70
the,welding,73
these,blue,46
a,blur,961
a,cartel,101
a,destination,594
the,carter,439
the,communique,84
the,cohesion,104
the,regal,154
an,anathema,40
a,badminton,33
this,imperative,36
the,luncheon,175
the,doubled,42
the,captivity,48
a,faucet,138
the,psychiatrist,459
the,doubles,97
the,doublet,44
the,clipboard,227
the,carton,222
a,handler,45
the,logic,2088
the,warship,47
the,larynx,274
a,stampede,157
the,trophoblast,39
a,howitzer,28
the,blip,24
the,psyche,472
a,sit-down,170
the,howler,41
the,silos,33
the,goalkeeper,26
the,greenwood,54
the,psycho,72
the,polaris,27
the,retiree,75
the,cumin,43
this,mayor,55
the,muddle,24
the,perry,92
a,masochist,52
a,thirty-second,26
the,serotonin,40
the,fetish,84
the,commuting,35
those,silly,76
the,blob,75
the,bloc,78
a,growling,52
a,blot,60
the,blow,804
the,midline,95
the,gearbox,36
the,tang,99
the,tank,2305
the,tasting,189
a,phalanx,206
a,buying,150
the,socialism,24
the,thorax,64
the,taps,87
the,socialist,988
the,tape,4980
this,take,100
the,socialite,32
the,hatching,42
a,finishing,83
the,torque,140
the,tale,1910
these,talk,31
the,tall,2737
a,logger,73
a,petty,219
the,kangaroo,75
a,shipload,24
the,choking,89
a,playroom,62
the,yellowfin,27
the,khan,58
the,greenhouse,936
a,taxi,1363
this,task,931
the,tass,35
the,ruckus,114
the,taro,26
the,tarp,340
a,tart,141
a,clunk,29
the,clump,92
a,sleeping,774
the,cultivar,37
a,chemist,287
the,pearly,129
the,shaping,286
a,petal,34
the,troubadour,26
this,mutation,34
a,storeroom,68
an,amber,131
the,feedstock,60
this,formulation,148
a,skullcap,31
the,ionosphere,71
the,coordination,310
the,peter,157
the,capsule,418
the,logos,344
the,laager,29
the,ambit,66
the,demoiselles,34
the,pesto,69
the,singles,154
the,taig,63
a,tail,467
the,antechamber,41
the,cleavers,25
this,monday,385
a,crocodile,171
a,multiplex,42
the,dealership,232
this,tack,33
the,cadmium,27
the,taco,99
the,winery,335
the,tact,44
a,secular,892
this,elite,82
a,forbidding,82
the,disaffection,24
the,intertidal,42
the,boar,130
the,boat,9218
the,chancel,67
the,dishonesty,24
the,oriental,249
an,oscar,1120
a,roving,134
the,propellant,47
the,winder,23
the,reign,732
the,hyperbole,47
the,brights,24
the,brouhaha,65
the,carrot,311
an,antitrust,137
a,photojournalist,62
the,sacking,51
the,soaking,54
a,kick,1000
the,persistence,701
a,boil,3146
the,microwave,988
the,orifice,23
the,meringue,69
the,hunchback,105
this,body,706
this,catastrophe,91
an,outfielder,111
the,armadillo,93
a,hairpin,65
the,spaciousness,24
a,hatchery,37
the,credibility,1198
the,acknowledgement,63
a,sinus,114
the,leasing,106
a,bleach,24
the,painter,1362
a,bricklayer,51
a,bas-relief,38
a,ruling,734
the,windup,27
a,bronzed,32
a,pheromone,31
the,sanatorium,49
a,bodybuilder,68
an,estate,388
the,duodenum,31
a,westerly,25
the,crusher,27
this,compare,40
the,decorum,31
a,compass,405
a,mitzvah,31
the,refugee,808
the,caravan,395
a,warmonger,23
a,window,4328
the,winemaking,25
a,headstone,70
the,outpouring,188
a,straightedge,36
the,feedlot,28
a,confidant,90
the,pronghorn,33
the,kiva,51
the,simulator,140
a,democracy,1727
the,deadlock,134
the,culpability,53
a,quadratic,34
a,priesthood,25
the,kiwi,25
a,fallow,30
an,undershirt,50
a,symphony,396
the,refund,53
the,chocolate,1056
the,directive,319
a,brunch,58
the,forearm,192
the,herbicide,78
this,refuge,28
the,townsfolk,101
the,etiology,249
the,rapids,223
an,arbiter,49
the,availability,2299
an,eruption,200
the,self-consciousness,39
the,boob,59
the,cardholder,26
this,boom,65
a,boon,678
a,boot,385
a,book,15941
the,universalist,34
a,nonaggression,24
the,refuse,77
the,bore,132
the,universalism,25
a,born,306
this,direction,656
the,universality,241
a,gasket,40
the,winchester,80
a,diuretic,54
the,boll,169
a,bolo,29
a,bold,1275
the,bole,28
the,canteen,224
the,bushmen,46
the,inculcation,53
the,bond,1783
the,bone,2460
a,bong,33
a,bomb,2691
the,bolt,539
the,walkway,466
this,overview,67
the,upland,90
the,aberration,31
a,bowl,3895
a,bulwark,145
the,agrarian,227
the,kiss,736
a,church,3638
a,hailstorm,62
a,kite,325
the,kirk,41
a,catalyst,694
the,deformation,51
the,reins,1153
the,bots,47
a,retrovirus,30
the,teardrop,29
a,kiln,59
a,kilo,114
a,kill,169
a,boss,360
the,rapist,241
a,kilt,62
a,hummer,28
the,kink,28
this,king,62
this,kind,11770
a,bout,383
this,commitment,248
the,viewing,467
a,scouting,73
the,dominion,65
the,guard,3159
a,jackass,110
a,triplet,31
the,ivories,50
the,raptor,128
a,three-quarter,66
the,exorcist,133
an,exorcism,74
this,intention,36
a,mumble,25
the,university,15535
the,singing,939
the,anchovies,39
a,logjam,37
the,pawnshop,41
a,carpet,381
the,commodity,407
the,twenty-eight,34
the,reset,89
the,former,21923
this,motivation,28
a,mixing,256
the,gestation,30
the,invalid,36
the,monies,96
the,formal,2214
this,achievement,108
the,particularities,87
a,convention,640
a,fail-safe,54
the,island,10022
the,melodrama,82
this,format,188
the,motivating,129
the,sprayer,27
this,referendum,52
the,churchyard,200
a,consonant,23
a,resin,39
a,contest,983
the,tugboat,24
the,ideologies,92
a,carriage,291
this,fighting,54
the,minaret,43
the,knitting,95
the,meanness,52
a,hazing,24
the,translator,444
the,context,9090
a,factor,4139
the,marching,205
a,mediation,76
the,virtuosity,29
the,certainties,41
a,meteoroid,28
a,shoo-in,108
the,shipwreck,80
the,brew,144
the,detriment,441
an,emulsion,33
the,projectionist,57
a,saber,81
the,three-piece,24
the,accolade,23
the,text,7074
