Base Word,Words in the Dictionary
guerrilla,guerrillaism
guy,guyed + guying
grated,ungrated
gynarch,gynarchic
grainedness,ingrainedness
gravid,gravidity + progravid
gendarme,gendarmes
gramophone,gramophonic
gavel,disgavel
glossemate,glossematic
gratulate,gratulation + gratulating + gratulatory
geste,gestion + gestureless
gamine,gamins
glime,gliming + glimmeringly
gothic,Gothic
gluttonise,gluttonising + gluttonised
grandmother,grandmotherly
gainable,ungainable
grainy,grainier + grainiest
goth,gothic + gothic
ghanian,Ghanian
gormandise,gormandising + gormandised
genome,genomic
globin,hemiglobin
galactic nebula,extragalactic nebula
gasconade,gasconaded + gasconading
geostate,geostatic
gorse,gorsy
gift-wrap,gift-wrapping
galling,ungalling
grudged,ungrudged
glove,glover + gloving + gloved + glovelike + gloveless
gum elast,gum elastic
girlishness,ungirlishness
governess,subgoverness + undergoverness + governessy
gopherberry,gopherberries
gratuitousness,ungratuitousness + nongratuitousness
gelatinoid,subgelatinoid
gleam,gleaming + agleam + gleamless + gleamingly
glean,gleanings + gleaning
gnotobiot,gnotobiotic
geopolitic,geopolitician
geotectone,geotectonic
generos,generosity + generosities
grisly,grisliest + grislier
graced,ungraced
gastronome,gastronomy + gastronomic
gnostically,prognostically
granary,granaries
grassroots,grass-roots
geneticy,hypergenetic
gastronomy,gastronomical
guaranteed,unguaranteed
godlike,ungodlike
gramophony,gramophonical
gestational,progestational
glucosure,glucosuric
godforsaken,Godforsaken
geomedy,geomedical
greediness,overgreediness
ginger,gingery + gingerly + gingerly
gout,goutish + gouty + goutily
governor,subgovernor + undergovernor
gean,perigean
grater,regrater
glebe,glebal + glebeless
globose,subglobose
graciously,overgraciously + nongraciously + quasi-graciously + ungraciously
gear,gearing + gear down + regear + gearless
gyp,gypping + gypped
gazebo,gazebos
garden cer,garden cress
gamogeneticy,gamogenetic
grievous,nongrievous
gunsmith,gunsmithing
grunt,grunter
gill,gills + gillion + gilling
gloss,glossy + glossitis + glosser + glossies + glossy + glossless + glossily
generous,ungenerous + supergenerous + overgenerous
gilt,intergilt + ungilt + parcel-gilt
gastrocole,gastrocolic
gnome,gnomist + gnomish + gnomic
guilt,nonguilt + preguilt + guiltless + guilty + guiltily
granularly,subgranularly
grume,grumness + grummer + grumous + grummest + grumly
glumaceous,subglumaceous
gild,gilder + gilding + overgilt + overgild + overgilded + gilt + gilded + regild + overgilding + gilded
glottis,proglottis + hypoglottis
glandular,nonglandular + interglandular + unglandular
grump,grumpy + grumpily
groan,undergroan + groaner
glott,glottic
gestate,gestated + gestating + gestative
gigolo,gigolos
groat,groats
gnathone,gnathonic
grapple,intergrappled + grappled + intergrapple + intergrappling
gastrectomy,gastrectomies
garrul,garrulity
geomorphology,geomorphologist + geomorphological + geomorphologic
gringo,gringos
grovel,grovelled + groveling + groveled + grovelling
gotten,ungotten
glisten,aglisten
germanic,Pan-Germanic + Celto-Germanic + Germanic
gorbelly,gorbellies
grecian,Grecian
gradu,graduation
gambling,antigambling + antigambling + progambling + ungambling
gemology,gemological
groggy,groggiest + groggier
gambolling,ungambolling
gestalt,gestalts + gestalten
grieve,grievance + overgrieving + overgrieve + grieved + grieving + overgrieved + grievous + overgrievous + grievously
gouty,ungouty
graciousness,ungraciousness + nongraciousness + overgraciousness
geometrise,geometrising
generalized,ungeneralized + nongeneralized
gerundial,nongerundial
gonorrhe,gonorrheic
gentle,gentleness + gentlest + overgentle + gentler + gentled + gentle-voiced + ungentle
goodness,supergoodness
granulate,granulator + granulation + granulated + granulating + granulative
groundable,ungroundable
girlish,ungirlish
grand climactere,grand climacteric
gunpowder,gunpowdery
grangerisate,grangerisation
gracy,graciousness + gracious + graciously
graspable,ungraspable
groovy,grooviest + groovier
glaciate,glaciating + glaciated
glaring,unglaring
grade,gradable + upgrade + downgrade + intergrade + upgrader + subgrade + grader + degrade + overgraded + pregrading + regraded + intergrading + overgrading + upgrade + regrading + downgrade + pregrade + pregraded + misgrading + intergrade + downgraded + misgraded + overgrade + downgrading + misgrade + regrade + upgrading + intergraded + upgraded + degraded + gradely + gradable + upgrade + degrading + subgrade + upgrade
graduated,ungraduated + nongraduated + overgraduated
gently,ungently + overgently
geysere,geyseric
glottogone,glottogonic
glamourously,unglamourously
grandstand,grandstander + grandstanded + grandstanding
globosely,subglobosely
gulos,gulosity
gilded,ungilded + nongilded
goofy,goofiness + goofiest + goofier
guarantee,superguarantee + nonguarantee + reguarantee + preguarantee + reguaranteeing + preguaranteed + preguarantee + reguarantee + preguaranteeing + superguarantee + reguaranteed
giving,ungiving
grav,gravities + antigravity + gravity + nongravity + gravy + nongravities + graver + graven + antigravity + gravest + graven
gray,grayling + gradient + dapple-gray + grayish + gradient
grace,disgrace + disgracer + disgracing + disgraced + graced + gracing + disgrace + nongraceful + graceful + ungraceful + graceless + gracelike + disgraceful + disgracefully + gracefully
geognosty,geognostical
geomorph,geomorphic
guarantey,guaranteeing
glycogeneticy,glycogenetic
grist,grister + gristly
gritty,ungritty + grittier + grittiest
globoid,subgloboid
gram,microgram + hexagram + grammar + epigram + monogram + programmer + pentagram + tetragram + programming + bigram + trigram + program + programed + programming + monogram + reprogram + programing + programmed + program + pentagrammatic + grammarless + programmable + monogrammatic + programmatic
gradient,gradienter
ghetto,ghettos
gran,granite + granitization + grannies + granny + granitizing + granitize
gaoler,undergaoler
gravitational,nongravitational + ungravitational
gossip,gossiping + intergossip + intergossiping + gossipy + gossipingly
galeae,galeas
grab,grabber + graben + grabbling + grabbed + regrabbed + regrab + regrabbing + grabbing + grabbable
gesticular,ungesticular
gurgitate,gurgitation
gunman,gunmanship
gordian,Gordian
grad,grading + undergrad + grading + graded
graysby,graysbies
gaby,gabies
goody,goodies
god-awful,God-awful
gynecocracy,gynecocracies
genuinely,nongenuinely + quasi-genuinely + ungenuinely
granular,subgranularity + nongranular + multigranular + ungranular + intergranular + subgranular
geodetically,ungeodetically
gluttonize,gluttonized
graphite,graphitic + nongraphitic
guided,unguided
gastralg,gastralgic + gastralgic
gum arab,gum arabic
glare,nonglare + glary + glareless + glaring + glaringly
glossae,paraglossae
geometric equ,hypergeometric equation
guider,misguider
greathearted,great-hearted
geographically,ungeographically + nongeographically
golfer,nongolfer
gourd,gourdlike
geodey,geodetic
given,ungiven
glass,glassful + glassfuls + glassy + glasslike + glassless + glassily
gladiate,gladiator
gird,girder + overgird + girding + undergird + ungird + ungirt + ungirding + girt + girded + regird + ungirded + overgirded
gooey,gooiest + gooier
goddess,goddessship
galilean,post-Galilean + Galilean
gizmo,gizmos
gooseberry,gooseberries
gully,gullying + gullies + gullied
god-fearing,God-fearing
girl,girlish + girlishly
giro,giros + autogiro
glossary,glossarist + glossaries + glossarial
gustate,gustative
guilty,guiltiness + overguilty + guiltiest + guiltier
gripe,gripeful + gripey
germinate,nongermination + germinator + regermination + germination + germinated + regerminated + germinating + regerminating + regerminate + regerminative + ungerminative + germinative + nongerminative
gladly,ungladly + quasi-gladly + overgladly
gynandromorph,gynandromorphic
glamorousness,unglamorousness
gaucho,gauchos
galvanocautery,galvanocauteries
gymnast,gymnastics + nongymnast + gymnastic + ungymnastic
gentile,gentilism + nongentile + Gentile + nongentile + ungentile
gentil,gentility + ungentility
gloved,ungloved
ganglion,interganglionic + ganglionic + postganglionic + preganglionic + nonganglionic + multiganglionic
guyed,unguyed
generating,nongenerating + ungenerating + intergenerating
game of chant,game of chance
garble,garbled
gargoyle,gargoylism + gargoyled
grooved,ungrooved
grocer,grocery + groceries
gynece,gynecic
godly,godliness + ungodliest + godliest + ungodly + godlier + ungodlier
glorified,unglorified
grilled,ungrilled
gentleness,ungentleness
garnishee,garnisheeing
genital,genitals + pregenital + subgenital + postgenital
glycole,glycolic
girlishly,ungirlishly
greek,non-Greek + pre-Greek + Greek
griffin,griffinism + griffinage + griffinish
green,greenling + greenness + greenage + greening + nongreen + lime green + Lincoln green + leek-green + grass-green + green-belt + greenish + greenly
geld,gelding + gelder + gelt + gelded
galvanoplast,galvanoplastic
grained,nongrained + ungrained
greet,greeting + regreet + pregreet + greetingly
goose step,goose-step
glottal,superglottal + supraglottal + subglottal
grumbling,ungrumbling + grumblingly
gravely,ungravely + quasi-gravely
gaudily,ungaudily
gerodont,gerodontic
gazetted,ungazetted
grey,greyness + greyish + steel grey + greyly
glissade,glissading + glissaded
genius,genii
grind,grinderies + grinding + grinder + grindery + grind on + regrinding + regrind + grindable + grindingly
guiltily,quasi-guiltily
gram-positive,Gram-positive
griddle,griddling + griddled
gree,degree + agree + disagree + disagreed + agreed + degree
grossness,overgrossness
gentlemanly,ungentlemanly + pseudogentlemanly
granuloblast,granuloblastic
globule,globularity + globular
gregariousness,ungregariousness + nongregariousness
geod,geodic
guarantor,preguarantor
gynarchy,gynarchies
gabled,ungabled
gland,glandless + glandlike
gas equ,gas equation
gens,subgens
gent,regencies + regent + agentive + regency + gents + gentian + reagent + gentling + regent + genty + agentive + gently
gambolled,ungambolled
genu,ingenuities + ingenuity + hyperingenuity + genus
golden,ungolden
geny,genetics + geneticist + genetic
greed,greedless + greedy + greedily
glutton,gluttony + gluttonizing + gluttonize + gluttonous
gynaec,gynaecic
greater,Greater
gallery,galleryite + galleries + gallerylike + galleried
glomerule,glomerular
glaciology,glaciologic + glaciological
give,giver + given + misgiving + giving + misgiven + misgive + gave + give over + give the boot + regiven + giving + regiving + give onto + regave + misgave + regive + given + giveable + given + misgivingly
glomerulonephrum,glomerulonephritis
gaudery,gauderies
gastrulae,gastrulas
glottidean,proglottidean
gregariously,nongregariously + ungregariously
gene,polygene + polygenist + genitive + geneal + transgene + generousness + epigenist + antigenicity + hypogenic + generous + polygenist + epigene + monogenic + antigenic + progenitive + allogenic + genic + genitive + ungenitive + acrogenic + hypogene + supergene + epigenous + hypogenous + dysgenic + genitival + xenogenic + generously
guppy,guppies
gastrular,pregastrular
gustatory,ungustatory
goodwilly,goodwillies
gratefulness,ungratefulness + overgratefulness
guillotine,guillotining + guillotined
gumpty,gumptious
goddamned,goddamnedest
gharry,gharries
geminate,gemination + ingemination + ingeminating + geminating + geminated + ingeminated + ingeminate
geometric distribu,hypergeometric distribution
ganoid,subganoid
gratificate,gratification
grill,griller + grilling + grilled
gynecopath,gynecopathic
glossograph,glossographical
gaudiness,ungaudiness
guerdon,guerdoner + guerdonless
group annu,group annuity
guard,guarder + guardee + guardian + underguardian + underguard + guardianship + preguard + guardlike + guardless + guarded + guardian + guardable + guardant + guardianless + guardedly
germinant,germinance + germinancy + ungerminant
glorify,reglorified + reglorifying + reglorify
groggery,groggeries
glucogene,glucogenic
gain,gains + regainer + regaining + gainer + pregain + regain + gainable + regainable + ungainful + gainless + gainly + gainful + again + gainly + gainfully
galax,galaxy + galaxies
gentrificate,gentrification
gentes,subgentes
gloating,ungloating
governmentally,semigovernmentally + ungovernmentally
growl,undergrowl + growler
graphophone,graphophonic
grown,ingrown + undergrown + ungrown
gelling,nongelling
gastrum,gastritis
grafter,ingrafter
grin,grinner + subgrin + grinning + grinned + grinning + grinningly
grasping,ungrasping + overgrasping
grip,gripper + griper + gripping + ungripping + griping + ungrip + regrip + gripped + griped + regripped + gript + ungripped + grippal + gripy + gripless + grippy
grit,gritter + grits + gritting + gritted + degrit + gritless + gritty + grittily
gracefulness,nongracefulness
gnat,gnatty + gnatlike
galactophore,galactophorous
great,greatness + greatest + greaten + greatest + great-circle + Great-Power + great-power + overgreat + Great Russian + greatly
gnaw,gnawing + undergnaw + gnawed + gnawn
geostroph,geostrophic
garrulous,nongarrulous + ungarrulous
grove,groveless + groved
grid,grided + griding + pentagrid
garden,gardening + gardener + gardenable + gardenlike + gardenless
grounding,nongrounding
grim,grimness + griming + grimed + grimy + grimmer + grimmest + grimily + grimly
governed,ungoverned
giggle,giggler + giggled + giggling
gallant,ungallant + supergallant
globigerinae,globigerinas
glottalize,glottalization + glottalizing
glossotomy,glossotomies
geo-navigate,geo-navigation
gest,ingestion + gesture + gestation + redigest + gestured + gesturing + gesture + ingest + nongestic + gestic
gradualist,gradualistic
graphicalness,nongraphicalness
glycistia,hyperglycistia
goitre,goitrous
grandfather,grandfatherly
generalising,ungeneralising
group,ingroup + subgroup + grouper + semigroup + grouping + regroup + intergroup
greaf,greaves
geochronology,geochronologic + geochronological
gross,grossness + gross up + overgross + ungross + grossly
gruesome,ungruesome
guidebook,guidebooky + guidebookish
germ,degerm + germlike + germless
ground substant,ground substance
genealogically,nongenealogically
glamour,glamourization + glamourize
grossly,overgrossly
gainsaid,ungainsaid
glimpse,glimpser + glimpsed + glimpsing
greenery,greeneries
grassy,grassiest + ungrassy + grassier
gait,gaiter + gaited
graveled,ungraveled
granophyre,granophyric
glycogenolyte,glycogenolytic
galosh,galoshes
gibbos,gibbosity
generatively,regeneratively
game,gameness + gamer + gamest + gammer + gamed + gamming + gammed + gamy + epigamic + monogamic + pregame + gamelike + gameless + gammy + gamic + gamer + gamest + autogamic + agamic + gamily + gamely
gillie,gillied
glauconite,glauconitic
grammaria,grammarian
geum,hypogeum
glozed,unglozed
galvanisate,galvanisation
glossectomy,glossectomies
gutsy,gutsiest + gutsier
grieved,nongrieved + ungrieved
general,generalship + undergeneral + generalist + generality + generalization + generalness + generalities + generalize + generalizing + generalized + pseudogeneral + generally
guarded,unguarded
gemmology,gemmological
glacially,subglacially + unglacially + nonglacially
gauged,ungauged
ghast,ghastly + aghast + ghastful + ghastly
gynodioecy,gynodioecious
gamb,gambling + gambling
grammaticalness,hypergrammaticalness
granule,granularity + granulite + granular
gale,regale + regalness + regale
governorship,subgovernorship
glas,glasses
garrulously,ungarrulously + nongarrulously
grownup,grown-up
gall,gallium + gallant + gallantness + gallant + gallous + galling + gallic + gallant + gallantly
glutinous,unglutinous
governing,ungoverning + nonself-governing
gethsemane,gethsemanic
gouge,gouger
glycerinate,glycerinating
gratitude,overgratitude + ungratitude + ingratitude
glad,gladness + overglad + unglad + gladly
gelatin,gelatinity + gelatinize + gelatinous
guillotine amputate,guillotine amputation
gala,polygala
gaping,ungaping
gloat,gloating + gloater + gloatingly
gallantry,gallantries
garote,garotter + garotted + garotting + garoting
gaol,gaoler
greeting,greetingless
gloam,gloaming
glyptograph,glyptographic
glamorisate,glamorisation
gravitation,gravitational
glutinously,unglutinously
guestimate,guestimated + guestimating
glume,glumness + glummest + glummer
giant,supergiant + giant-like
grotesque,grotesqueness + ungrotesque + grotesquely
gelatinize,subgelatinization + gelatinized
grouse,grouser + groused + grousing + grouselike + grouseless
gamelike,ungamelike
grot,grotty
general anaestheticy,general anaesthetic
geometrically,nongeometrically + semigeometrically + ungeometrically + subgeometrically
grow,growling + grower + growing + grow on + overgrow + overgrew + grow out of + growing + regrowing + overgrown + overgrowing + regrow + grew + regrew + regrown + grow into + growing + growable + growingly + growlingly
gang,ganger + gangly
gold-plate,gold-plated + gold-plating
grade separate,grade separation
going,ingoing + ingoing
graining,undergraining
grate,ingrate + gratefulness + grating + grater + regrated + gratified + gratify + regrating + grated + regrate + ingrate + ungrateful + grating + grateful + overgrateful + gratifying + grateless + gratelike + gratefully + gratingly + gratifyingly
granulite,granulitic
get together,get-together
gumbo,gumbos
grangerise,grangerising
globe,globelike
grog,groggy + groggily
genus,pseudogenus + subgenus
gamy,polygamy + microgamy + hypergamy + microgamies + monogamy + bigamy + xenogamy + bigamous + monogamous + polygamous + gamier + ungamy + gamiest
gratu,gratuity + gratuities
gastrostomy,gastrostomies
genialness,overgenialness + ungenialness
give and take,give-and-take
greatly,overgreatly + quasi-greatly
genteelly,quasi-genteelly
gastrocnem,gastrocnemian
generalisate,generalisation
grasp,graspingness + grasping + grasper + regrasp + grasping + graspable + graspless + graspingly
grass,undergrass + supergrass + grasslike + grassless + grassy
gesticulating,ungesticulating
goethean,Goethean
geologically,nongeologically + ungeologically
gauntlet,gauntleted
gradation,gradational + degradational
gratuitously,ungratuitously + nongratuitously
galwegian,Galwegian
gorged,ungorged
gestion,redigestion
gelded,ungelded
galeeny,galeenies
glowing,unglowing
gifted,ungifted + overgifted
glee,ungleeful + gleeful + gleefully
grumble,grumbler + grumbling + grumbled
gelatine,gelatinization + gelatinizing
gainfully,ungainfully
gravitating,ungravitating
gradating,ungradating
glen,glenlike
gape,gapes + agape + subgape + subgaping + subgaped + agape + agape
geologise,geologising
gunfight,gunfighter + gunfighting
gybe,gybing + gybed
gasp,gasper
gloriousness,ingloriousness + supergloriousness
grub,grubby + grubber + grubbies + grubbed + grubbing + grubby + grubbily
glider,paraglider
glia,microglia
genetically,nongenetically + pangenetically + hypergenetically
glib,glibber + glibbest + unglib + glibly
gutturalisate,gutturalisation
grand duch,grand duchess
genovese,Genovese
glamor,glamorous
garment,undergarment + overgarment + regarment
gonococc,gonococcic
gynecocrate,gynecocratic
gelatinized,ungelatinized
gase,gaseity
gases,nongases
grenadier,grenadiership + grenadierly
garl,garlic
generalise,generalising + generalised + generalisable
grape,grappling + grapes + grapy + grapelike + grapey
gobble,gobbled
graph,macrograph + trigraph + monographer + polygrapher + monographist + micrograph + graphite + graphics + allograph + digraph + graphicness + monograph + autograph + graphic + graphitization + polygraphist + epigraph + paragrapher + polygraph + paragraph + paragraphism + graphitize + graphitizing + monograph + autograph + paragraph + regraph + monographic + polygraphic + ungraphical + autographic + digraphic + paragraphic + macrographic + nongraphic + nongraphical + monographical + graphic + epigraphic + trigraphic + autographical + ungraphic + agraphic + micrographic + graphicly
guessable,unguessable
geometric function,hypergeometric function
garb,garbage + undergarb + garbling + garbless
gratefully,ungratefully + quasi-gratefully + overgratefully
gastroenterostomy,gastroenterostomies
ghostfish,ghostfishes
growling,ungrowling
gourmand,gourmands + gourmandism
geotrope,geotropic
goose,gooselike + goosy
guzzle,guzzled + guzzling
grappling,ungrappling
gorill,gorillian
gallantly,ungallantly + supergallantly + quasi-gallantly
gauchery,gaucheries
glutinousness,unglutinousness
gawky,gawkier + gawkiest
glorificate,glorification
globulia,hyperglobulia
gametophory,gametophoric
gaud,gaudy + gaudy + gaudily
ga,gas + gay + gas + gay + gaily
gabble,gabbler + gabbled
glutted,unglutted
glamorously,unglamorously
gestation,gestational
ge,geest + geeing + gey
galactopoieticy,galactopoietic + galactopoietic
gamekeeper,undergamekeeper
glandule,glandulous + glandular
gi,giant + giantess + giantism + GI + giant
galvanometry,galvanometric + galvanometrical
gl,glen + glory + glance + glories + gloried + glorying + glancing + glory + glance + glorified + glanced + glorify + glorifying + glorious + gloriously
gamble,gambler + regambling + overgambled + overgambling + regamble + regambled + overgamble + gambled
gallican,Gallican
glypt,glyptic
gesticulate,gesticulation + overgesticulation + gesticulator + overgesticulating + gesticulating + overgesticulate + overgesticulated + gesticulated + overgesticulative + gesticulatory + gesticulative + ungesticulative
geochemy,geochemical
go,goal + goy + going + undergone + go at + underwent + gone + go together + go slow + went + go without + go apeshit + go ballistic + stop-go + go-ahead + goalless + going
gp,gps
gr,grist
grand,grandness + grandee + grands + ungrand + grand-ducal + grand-scale + grandly
gu,guy + guess + guest + guessing + guess + guest + guy + guestless + guessingly
glyph,triglyph + interglyph + glyphic
gushy,gushier + gushiest
glim,glimmer + glimmering + glimmer + glimmering
gate,gater + gator + agate + ingate + agatize + agatizing + gateless + gatelike
grant,regrant + grantee + granter + grantor + supergrant + regrant + grantable
gelate,gelation
glomerate,glomeration
gelatificate,gelatification
gymnosperm,gymnospermic
goldfinny,goldfinnies
grubstake,grubstaked + grubstaking
gastry,gastric
grangerize,grangerization + grangerizing
germinating,ungerminating + nongerminating
grinned,ungrinned
goodly,ungoodly + goodliest + goodlier + ungoodly
glazed,overglazed + nonglazed + unglazed + tin-glazed + semiglazed
geopolite,geopolitic
gawk,gawky
georgian,Georgian
gauge,gauger + misgauged + regauge + gauged + misgauging + regauging + gauging + regauged + gaugeable + gaugeably
grenadian,Grenadian
gymnasium,gymnasiums
guttural,gutturalness + gutturalization + gutturality + gutturalism + gutturalize + gutturalizing + nonguttural + unguttural + gutturally
gastroenterology,gastroenterologist + gastroenterologic + gastroenterological
grippal,postgrippal
gleefully,ungleefully
gelid,gelidity
gradate,degradation + gradation + regradation + intergradation + gradating + regradate + regradating + gradated + regradated
gemmipar,gemmiparity
gladden,ungladden
gamboling,ungamboling
globular,subglobularity + unglobular + nonglobular + interglobular + semiglobular + subglobular
gypsy,gypsyism + gypsydom + gypsyish + gypsylike + gypseous
galvanoscope,galvanoscopic
glob,globing + globed + globalize + global + globally
gratuity,gratuitous + gratuitously
grader,degrader
goggle,goggles + goggling + goggled
grubby,grubbiness + grubbiest + grubbier
galloping,ungalloping
government,regovernment + nongovernment + undergovernment + antigovernment
greasy,nongreasy + ungreasy + greasiest + greasier + overgreasy
grudge,grudger + grudged + grudging + grudging + grudgeless + grudgingly
gelatinate,gelatination + gelatinating
group represent,group representation
gatherer,ingatherer
generalize,overgeneralization + overgeneralize + overgeneralizing + overgeneralized
graded,ungraded
guaranty,reguaranty + reguaranties + nonguaranty + guarantee + guarantor + guaranties + guarantee + guaranteed
gerundively,nongerundively
grease,degreaser + greaser + degreasing + greased + regrease + regreasing + regreased + greasing + degrease + greaseless + greasy + greasily
geocentry,geocentric
gaudy,gaudies + gaudiness + ungaudy
gneiss,gneissic
gnawn,ungnawn
gnosis,prognosis
glasshouse,glasshouses
governable,ungovernability + ungovernable
geopolity,geopolitical
gypse,gypseian
glamorize,glamorization + glamorizing + glamorized
gesticulatory,ungesticulatory
gossipy,ungossipy
genera,subgenera + pseudogenera
group insurant,group insurance
granivore,granivorous
gyrofrequent,gyrofrequency + gyrofrequencies
guesstimate,guesstimated + guesstimating
geneticalness,hypergeneticalness
galene,galenic
gynaecology,gynaecologist + gynaecologic + gynaecological
genially,ungenially + overgenially
geopone,geoponic
gangrenous,ungangrenous + nongangrenous
gravelled,ungravelled
genere,generic + generic
gyrating,ungyrating
gnath,gnathic
galeny,galenical + galenical
