Word,AdjectiveOrderID,ComparisonType,Quantifier,IsQualitative,IsClassifying,CommonlyPrecededWithAnd,WorksInAttributivePosition,WorksInPredicativePosition,HasDiminutiveSuffix,IsProper,Compliments,MustUseMoreMost,AdjectiveIntensifierID
unabstractive,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
cryptozygous,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
venous,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
U,-1,Absolute,--,null,null,null,null,null,false,true,,null,-1
uncensuring,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
companionless,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
nonliable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
flip,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
nongraceful,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
cemeterial,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
axenic,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
eating,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
n,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
cubistic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unshipped,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
restorationism,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
t,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
pisiform,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
anelectric,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
aedeagal,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
quasi-dutiful,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unpeelable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
put up,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
resuscitative,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
biogeographical,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
Jahwistic,-1,Absolute,--,null,null,null,null,null,false,true,,null,-1
undulate,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nondiastatic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
bootyless,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
monometrical,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
myriad,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
nonfunded,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
feldspathoid,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unstigmatized,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
toelike,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unkilling,-1,Absolute,--,null,null,null,null,null,true,false,,null,-1
glace,-1,Absolute,--,false,true,null,true,false,false,false,,false,-1
toadish,-1,Absolute,--,null,null,null,null,null,true,false,,null,-1
karyoplasmatic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
informative,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
unmanipulative,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
bleakish,-1,Absolute,--,null,null,null,null,null,true,false,,null,-1
supersacerdotal,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unmiasmatical,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
dumpy,-1,Absolute,--,true,false,null,true,true,false,false,,false,-1
unappliable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
self-professed,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
undiscording,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
pterylological,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
raring,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
spasmophilic,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
conflagrant,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
undispensable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
motive,-1,Absolute,--,false,true,null,true,false,false,false,,false,-1
knolly,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
blasty,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
underproportioned,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
conducive,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
fat-witted,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
Sienese,-1,Absolute,--,null,null,null,null,null,false,true,,null,-1
better,-1,Comparative,--,null,null,null,null,null,false,false,,null,-1
half-intellectual,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
histogenetic,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
crossbanded,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
forenamed,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
Manchus,-1,Absolute,--,null,null,null,null,null,false,true,,null,-1
boardable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
contraorbital,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
illustratable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
tripping,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
chilly,-1,Absolute,--,true,false,null,true,true,false,false,,false,-1
subornative,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unadmirable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
etesian,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
ceorlish,-1,Absolute,--,null,null,null,null,null,true,false,,null,-1
overelaborate,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
consecratory,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unsubordinative,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
muscly,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unrivaling,-1,Absolute,--,null,null,null,null,null,true,false,,null,-1
premiate,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
reinflatable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
timid,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
multistratified,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
outweaponed,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
Moslemic,-1,Absolute,--,null,null,null,null,null,false,true,,null,-1
multinuclear,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
unrequitable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unroiled,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
transcurrent,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
artiest,-1,Superlative,--,null,null,null,null,null,false,false,,null,-1
nonacquisitive,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
derangeable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
jellied,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
abstergent,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
chrismal,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
humanoid,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
unfried,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
semi-internal,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
oversuspicious,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
coraciiform,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
lampyrid,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unfallen,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
well-cooled,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
biogenetic,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
ruttish,-1,Absolute,--,false,true,null,true,true,true,false,,false,-1
uninferable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
icosahedral,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
aforethought,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nonpunishable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
uncondemnable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
well-refined,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
stonier,-1,Comparative,--,null,null,null,null,null,false,false,,null,-1
portaled,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
isopentyl,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
cantankerous,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
nonfactious,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nonusurping,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
retinued,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
over-riding,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
hylozoic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
semipathological,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
sub judice,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
exhortative,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
astrophysical,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
undecayable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
predramatic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nonparasitical,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
sneaky,-1,Absolute,--,true,false,null,true,true,false,false,,false,-1
unmingled,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
pernicious,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
subgelatinous,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
psychopathologic,-1,Absolute,--,true,true,null,true,true,false,false,,true,-1
muscid,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
crystalloid,-1,Absolute,--,false,true,null,true,true,false,false,,true,-1
unoverpaid,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unforeseeing,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
presuggestive,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unreactionary,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
untoned,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
precontroversial,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
pericarditic,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
unclaimed,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
soulless,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
uranylic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
perturbational,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
self-schooling,-1,Absolute,--,null,null,null,null,null,true,false,,null,-1
blindfold,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
unjailed,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
footed,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
vacillating,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
well-enumerated,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
regardable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
quasi-inclined,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
saccharometric,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
lowborn,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nonfulminating,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
microstomatous,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nonpersonal,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
fairish,-1,Absolute,--,null,null,null,null,null,true,false,,null,-1
celibate,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
semianalytical,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
post-Jutland,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
porcine,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
uncamped,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
cirsoid,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
unbevelled,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
antherless,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
aplastic,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
half-English,-1,Absolute,--,null,null,null,null,null,true,false,,null,-1
witted,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
unspeculative,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
self-humiliating,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
hypercritical,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
unexudative,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unalignable,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
unglutinous,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
beautiful,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
eventual,-1,Absolute,--,false,true,null,true,false,false,false,,false,-1
unnephritic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
semisweet,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
dungy,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
gangliest,-1,Superlative,--,null,null,null,null,null,false,false,,null,-1
swishier,-1,Comparative,--,null,null,null,null,null,false,false,,null,-1
wartlike,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
interjectory,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
sixty-first,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unwilled,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
subgelatinoid,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
testudinal,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
unvehement,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
pseudoprophetic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
myelinated,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
two-dimensional,-1,Absolute,--,false,true,null,true,false,false,false,,false,-1
semimembranous,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
monitory,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
sweptback,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unsalubrious,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
hydrocyanic,-1,Absolute,--,false,true,null,true,false,false,false,,false,-1
hammerable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nonodoriferous,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
terete,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nonfused,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unenveloped,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
tuitionary,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
polymeric,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
derivational,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
bracteate,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
bendable,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
insubstantial,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
nonary,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
ordinal,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
transmental,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
non-Unitarian,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
stercoricolous,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unvibrated,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nonideological,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
glare,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
terrestrial,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
quasi-fascinated,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
precognizant,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
recessional,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
tigerish,-1,Absolute,--,true,false,null,true,true,true,false,,true,-1
preferrous,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nonenrolled,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
glary,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
extravaginal,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
pre-Cambridge,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unsystematizing,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
serotinal,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unsublimated,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
mobbish,-1,Absolute,--,null,null,null,null,null,true,false,,null,-1
decompound,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unmaddened,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
semiautonomous,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
interseptal,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
pinnatipartite,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
aerolitic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
cursive,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
eeriest,-1,Superlative,--,null,null,null,null,null,false,false,,null,-1
grainless,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
hard and fast,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
earliest,-1,Superlative,--,null,null,null,null,null,false,false,,null,-1
stylish,-1,Absolute,--,true,false,null,true,true,true,false,,true,-1
antinomical,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nonscraping,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unsoldierlike,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
gummous,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
dogmatic,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
unscrutable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
extant,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
underfired,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
light-struck,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
lignocellulosic,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
nonsynthetic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
third-degree,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
flowery,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
enterozoan,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
flea-bitten,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
pre-Socratic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
monochromatic,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
heptamerous,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
Arcadic,-1,Absolute,--,null,null,null,null,null,false,true,,null,-1
mesophytic,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
spiceable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
lithophytic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unflexed,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unstaid,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
antireformist,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
Pan-European,-1,Absolute,--,null,null,null,null,null,false,true,,null,-1
fourpenny,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unmortal,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unrecompensed,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nondecisive,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unconstipated,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
bright,-1,Absolute,--,true,false,null,true,true,false,false,,false,-1
Guidonian,-1,Absolute,--,null,null,null,null,null,false,true,,null,-1
expansionary,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
periscopic,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
cranelike,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
uncloudy,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
anteprandial,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
cockney,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
emergent,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
unlibelled,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
gracious,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
Stoic,-1,Absolute,--,null,null,null,null,null,false,true,,null,-1
hoatching,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
top-drawer,-1,Comparative,--,null,null,null,null,null,false,false,,null,-1
unstagy,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
self-liquidating,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
riverless,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
staphylorrhaphic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
bigwigged,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
linelike,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nonblended,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unimpropriated,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
candied,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unelating,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unspeculating,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
Vendean,-1,Absolute,--,null,null,null,null,null,false,true,,null,-1
procollegiate,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
semiphrenetic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
undisdaining,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nitrous,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
unremonstrant,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
lightful,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
stibial,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unvarying,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
dysplastic,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
unflippant,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
fulgent,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
amplexifoliate,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
adagietto,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
remonstrative,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
phylloid,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
cuter,-1,Comparative,--,null,null,null,null,null,false,false,,null,-1
self-expressive,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
well-boned,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unmiasmatic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unodorous,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
balkier,-1,Comparative,--,null,null,null,null,null,false,false,,null,-1
noncellular,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
exotic,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
resistive,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
gewgawed,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
psychic,-1,Absolute,--,true,true,null,true,true,false,false,,true,-1
overponderous,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unsuccinct,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
Addisonian,-1,Absolute,--,false,true,null,true,true,false,true,,false,-1
rabbinistical,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
catechismal,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
operatable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
crescendo,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
bairnish,-1,Absolute,--,null,null,null,null,null,true,false,,null,-1
thready,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
malfeasance,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
post-Chaucerian,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
sprucer,-1,Comparative,--,null,null,null,null,null,false,false,,null,-1
undulant,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
ectal,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
grumbly,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
nonvertebrate,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
self-inoculated,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unwild,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unturreted,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unthirsty,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
noncommissioned,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
unwily,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
fashionless,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
paled,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
includable,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
crustless,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
anticlassical,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unelbowed,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
first-name,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
chadless,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
clean-living,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
